,avg_cv_f1,case,avg_cv_fit_time,avg_cv_predict_time,model_name,avg_cv_balanced_accuracy
0,0.5320856596255537,ternary_ovr,186.3999506632487,0.8879289627075195,AdaBoostClassifier,0.45845347000764053
1,0.39221209123133266,ternary_ovr,2.157450040181478,0.005004008611043294,DummyClassifier,0.3333333333333333
2,0.4577925369826712,ternary_ovr,2562.643163204193,2385.045323371887,GaussianProcessClassifier,0.3970038156457402
3,0.4865232475122367,ternary_ovr,58.070509354273476,0.5906648635864258,LGBMClassifier,0.4080607258561837
4,0.5979903567181101,ternary_ovr,9.42225956916809,0.5100281238555908,LogisticRegression,0.5365217831639731
5,0.6106789028884176,ternary_ovr,84.17488114039104,0.12196858723958333,MLPClassifier,0.5529251079207342
6,0.4315037068751523,ternary_ovr,26.989961226781208,0.34111833572387695,RandomForestClassifier,0.36683206000695634
7,0.5984833849045336,ternary_ovr,3.5570934613545737,0.0906674861907959,RidgeClassifier,0.5356286213608613
8,0.5907139162883448,ternary_ovr,4.1304662227630615,0.4470858573913574,SGDClassifier,0.5338706177387015
9,0.6030577635757878,ternary_ovr,83.12167390187581,5.440320571263631,SVC,0.5335773372033049
10,0.556638736939501,ternary_ovr,375.568843682607,0.28563475608825684,XGBClassifier,0.4791475896926511
