target_score,accuracy,adjusted_balanced_accuracy,f1_weighted,geometric_mean,roc_auc_ovo,roc_auc_ovr,roc_auc_ovo_weighted,roc_auc_ovr_weighted,fit_time,predict_time
roc_auc_ovo,0.611998812,0.344565575,0.607639451,0.540389614,0.761131363,0.755640365,0.753900645,0.745799278,37.63598247,0.550423527
balanced_accuracy,0.608329537,0.349034176,0.605792349,0.5470969,0.761804012,0.755069215,0.753544378,0.744399167,38.77979512,0.549276304
geometric_mean,0.608329537,0.349034176,0.605792349,0.5470969,0.761804012,0.755069215,0.753544378,0.744399167,38.77979512,0.549276304
roc_auc_ovo_weighted,0.615275867,0.323937946,0.606534189,0.520431878,0.753812215,0.750280057,0.748167878,0.741210698,9.938813829,0.292946625
roc_auc_ovr,0.615275867,0.323937946,0.606534189,0.520431878,0.753812215,0.750280057,0.748167878,0.741210698,9.938813829,0.292946625
roc_auc_ovr_weighted,0.615275867,0.323937946,0.606534189,0.520431878,0.753812215,0.750280057,0.748167878,0.741210698,9.938813829,0.292946625
accuracy,0.61619539,0.320889359,0.606387593,0.516328045,0.750165734,0.7474633,0.745259705,0.739155072,2.012283278,0.153219891
f1_weighted,0.61619539,0.320889359,0.606387593,0.516328045,0.750165734,0.7474633,0.745259705,0.739155072,2.012283278,0.153219891
