,avg_cv_fit_time,avg_cv_geometric_mean,avg_cv_f1,avg_cv_predict_time,model_name,case,avg_cv_balanced_accuracy
0,0.00120086669921875,0.0,0.31590039827785293,0.0013958930969238282,Dummy,negative,0.5
1,0.0035177230834960937,0.0,0.2207644477311979,0.00019588470458984376,Dummy,neutral,0.5
2,0.001552915573120117,0.0,0.2041425549927304,0.00020031929016113282,Dummy,ternary,0.3333333333333333
3,0.004718589782714844,0.0,0.07260649121937277,0.001591777801513672,Dummy+Dummy,ternary_negneu,0.3333333333333333
4,18.250547647476196,0.0,0.18626835099851474,0.12206711769104003,Dummy+LGBM,ternary_negneu,0.3629283602345984
5,2.4947297096252443,0.0,0.1816223110347837,0.009565448760986328,Dummy+LogisticRegression,ternary_negneu,0.35934952256313313
6,22.522263288497925,0.0,0.18621000314645042,0.0189450740814209,Dummy+MLP,ternary_negneu,0.3626909141583054
7,0.7410160541534424,0.0,0.18231508817568143,0.0068394184112548825,Dummy+Ridge,ternary_negneu,0.36089386117977795
8,5.604350805282593,0.0,0.1787666395948991,0.06896052360534667,Dummy+SGD,ternary_negneu,0.360427027289031
9,9.157677412033081,0.0,0.18959665714247445,1.9285516262054443,Dummy+SVC,ternary_negneu,0.364812842324657
10,63.514382123947144,0.5045394135489689,0.5845675907991292,0.13396940231323243,LGBM,ternary,0.5415157059451172
11,18.2470299243927,0.6374807457704432,0.6493925613377781,0.1218712329864502,LGBM,negative,0.6432547911935422
12,27.287065076828004,0.6414517820330655,0.7978710642171748,0.12656865119934083,LGBM,neutral,0.6847213771889116
13,27.28826594352722,0.0,0.3895116314341019,0.12796454429626467,LGBM+Dummy,ternary_negneu,0.45260174165250333
14,45.534095001220706,0.5014555915228606,0.5657415565329373,0.24843988418579102,LGBM+LGBM,ternary_negneu,0.5226616360005604
15,29.778277063369753,0.5069038030866119,0.5586980065312603,0.13593821525573732,LGBM+LogisticRegression,ternary_negneu,0.523194167027887
16,49.805810642242434,0.5102595464985323,0.5695527155202346,0.1453178405761719,LGBM+MLP,ternary_negneu,0.5306621980977982
17,28.02456340789795,0.5092132758544182,0.558662058282878,0.13321218490600586,LGBM+Ridge,ternary_negneu,0.524717424269567
18,32.8878981590271,0.5028892884719359,0.5491860800899572,0.19533329010009765,LGBM+SGD,ternary_negneu,0.5178621902028923
19,36.44122476577759,0.5125994954590536,0.5826622282724383,2.0549243927001952,LGBM+SVC,ternary_negneu,0.5370627852429746
20,7.908237886428833,0.5336239827005789,0.5681030554060235,0.03436298370361328,LogisticRegression,ternary,0.5526039833996467
21,3.901087427139282,0.7232169664295467,0.7983496643649983,0.006245088577270508,LogisticRegression,neutral,0.7370501745322645
22,2.491211986541748,0.6351934917509714,0.6433699641264123,0.009369564056396485,LogisticRegression,negative,0.6381562814300016
23,3.902288293838501,0.0,0.40091741347655574,0.007640981674194336,LogisticRegression+Dummy,ternary_negneu,0.4850438371960638
24,22.14811735153198,0.5270146429825288,0.5697644218747915,0.12811632156372071,LogisticRegression+LGBM,ternary_negneu,0.5515450193546091
25,6.39229941368103,0.5331767280481545,0.5668165028753052,0.015614652633666994,LogisticRegression+LogisticRegression,ternary_negneu,0.5536886980102007
26,26.419832992553708,0.5364750403310778,0.5757697606205171,0.024994277954101564,LogisticRegression+MLP,ternary_negneu,0.5605964264096821
27,4.638585758209229,0.5363513069286291,0.5666237289785763,0.012888622283935548,LogisticRegression+Ridge,ternary_negneu,0.5551812093405281
28,9.50192050933838,0.5311517399024449,0.5580682153283532,0.07500972747802734,LogisticRegression+SGD,ternary_negneu,0.5494182805124159
29,13.055247116088868,0.5375539039730973,0.5868307143664242,1.934600830078125,LogisticRegression+SVC,ternary_negneu,0.5654588074816662
30,30.034786415100097,0.5429032803757405,0.6065285622290233,0.02361016273498535,MLP,ternary,0.570701453448365
31,22.941651248931883,0.691965801839831,0.8210545036229121,0.01860198974609375,MLP,neutral,0.7237120743236912
32,22.518745565414427,0.6566829389640567,0.6632936431196029,0.018749189376831055,MLP,negative,0.6615950669172961
33,22.9428521156311,0.0,0.40827230958500743,0.019997882843017577,MLP+Dummy,ternary_negneu,0.4781710104971692
34,41.18868117332458,0.5287416301628853,0.5826952547015605,0.14047322273254395,MLP+LGBM,ternary_negneu,0.5485332861859054
35,25.432863235473633,0.533124811093994,0.5769605374635561,0.027971553802490234,MLP+LogisticRegression,ternary_negneu,0.5488089718088276
36,45.46039681434631,0.5387233130190021,0.5915159410287035,0.03735117912292481,MLP+MLP,ternary_negneu,0.5594665047590583
37,23.67914958000183,0.5361524318626085,0.5774557992889872,0.025245523452758788,MLP+Ridge,ternary_negneu,0.550840217828328
38,28.54248433113098,0.5302293503338591,0.5681895239748391,0.08736662864685057,MLP+SGD,ternary_negneu,0.5441984509013198
39,32.09581093788147,0.5398128036854286,0.600618223545607,1.9469577312469484,MLP+SVC,ternary_negneu,0.5633302362584416
40,1.2866402626037599,0.5386305559849887,0.5601989921238039,0.009735345840454102,Ridge,ternary,0.5558179152911652
41,1.1224679470062255,0.7258697176008928,0.7791630591663916,0.0065785408020019535,Ridge,neutral,0.7361456460761742
42,0.7374983310699463,0.6386244567181666,0.64615198968989,0.006643533706665039,Ridge,negative,0.6413862740399647
43,1.1236688137054442,0.0,0.3929605310668534,0.007974433898925782,Ridge+Dummy,ternary_negneu,0.48479842873799106
44,19.369497871398924,0.5187485294571077,0.5573609088218803,0.12844977378845215,Ridge+LGBM,ternary_negneu,0.5487533193899987
