,model_name,case,balanced_accuracy,f1,geometric_mean,jaccard,roc_auc,fit_time,predict_time
0,SVC,negative,0.3454704055028584,0.6797548198867422,0.666718543703705,0.5174206970921055,0.6727352027514293,317.9565294265747,51.39934387207031
1,Ridge,negative,0.29799605827278347,0.6544312190145565,0.6459295013781388,0.4881964582420493,0.6489980291363917,4.753258609771729,0.0371158123016357
2,LDA,negative,0.2946579068145806,0.6533218543392214,0.6439956504871475,0.4870980661227927,0.6473289534072901,34.39628624916077,0.0451195240020751
3,LogReg,negative,0.2913845070186078,0.6512077022024059,0.6427216262656791,0.4846476051983801,0.6456922535093039,10.175856637954713,0.0463204860687255
4,SGD,negative,0.29027066985670386,0.6501305442796151,0.6409843790522768,0.48368538322125393,0.6451353349283521,19.638569784164428,0.0386482238769531
5,Dummy,negative,0.0,0.37559895962006995,0.0,0.2896270863596798,0.5,0.0033997535705566,0.0007998943328857
6,Ridge,neutral,0.4829400553974906,0.7682872967340363,0.7396243876388069,0.6350055939110522,0.7414700276987453,7.69631986618042,0.0386424541473388
7,SGD,neutral,0.4805157351014738,0.7613085897214034,0.7392786277601916,0.6251927230816434,0.740257867550737,18.74966025352478,0.0430310726165771
8,LDA,neutral,0.48106000395964443,0.767020190088051,0.7389080594744605,0.6332576290372022,0.7405300019798222,50.44171304702759,0.0366732120513916
9,LogReg,neutral,0.4713519356117164,0.7706391432420693,0.7331436816678811,0.6386325844888922,0.7356759678058582,15.453208827972412,0.0444463729858398
10,SVC,neutral,0.4248245742480596,0.7916645822983168,0.6918256365754155,0.6722119395949506,0.7124122871240299,448.6614756584168,43.39207358360291
11,Dummy,neutral,0.0,0.31011343916639644,0.0,0.25524990233445194,0.5,0.0004000186920166,0.0007989406585693
12,SVC,ternary,0.3137319677432108,0.6072421882675826,0.48651664191097554,0.45234424910016174,0.6569919918188929,788.2352037906646,65.94250631332397
13,Dummy,ternary,0.0,0.09821178405685849,0.0,0.06199597107892112,0.5,0.0031254291534423,0.0
14,LogReg,ternary,0.32842559661743465,0.5713306255197373,0.5450030508652499,0.4059764804836131,0.6603464561005083,26.589613676071167,0.2926663875579834
15,SGD,ternary,0.3335570752603002,0.5653888922899141,0.5475143263049251,0.39936088763836264,0.6627704846717242,23.97680583000183,0.0382447242736816
16,Ridge,ternary,0.3345883172463172,0.5695661761830397,0.5484287327035313,0.4038468339680893,0.6633969140278333,8.140964889526368,0.0443977832794189
17,LDA,ternary,0.3301648529513828,0.5680015333668228,0.5481783412053202,0.40203865264525007,0.6610640022120631,54.95874261856079,0.0527294158935546
18,LogReg+SVC,ternary_negneu,0.3200313870266442,0.584814953173605,0.5136681259290266,0.4250683556222513,0.6609280963993778,333.4097382545471,51.44379024505615
19,Ridge+SVC,ternary_negneu,0.323894787452114,0.5840006585288843,0.5121632481296159,0.42423898610426464,0.6624595691929998,325.65284929275515,51.43798632621765
20,LDA+SVC,ternary_negneu,0.3228004802115748,0.5829845586248633,0.5114183603182603,0.4231694528538479,0.6619331820373848,368.3982424736023,51.4360170841217
21,SGD+SVC,ternary_negneu,0.32274665721716966,0.5790686405202656,0.5092779212620391,0.4188543423719914,0.6614796090473759,336.7061896800995,51.44237494468689
