,avg_cv_balanced_accuracy,avg_cv_f1,avg_cv_fit_time,case,avg_cv_predict_time,model_name
0,0.5667037262631,0.628097391044654,119.35722120602925,negpos,0.24468111991882324,AdaBoostClassifier
1,0.5,0.5278517207179341,0.0009989738464355469,negpos,0.0003333886464436849,DummyClassifier
2,0.5168258192362382,0.5616181698580102,13.168619553248087,negpos,0.1832277774810791,LGBMClassifier
3,0.6125828685738657,0.6740947523190522,2.381366570790609,negpos,0.029696305592854817,LogisticRegression
4,0.6348011690312121,0.6956673998805051,41.17143893241882,negpos,0.03939318656921387,MLPClassifier
5,0.5074625941558664,0.5412348189547387,3.1048296292622886,negpos,0.1402095158894857,RandomForestClassifier
6,0.6176198225678298,0.6772116790067532,0.8047081629435221,negpos,0.031887054443359375,RidgeClassifier
7,0.6159016458520238,0.6664928538217884,2.9522136052449546,negpos,0.14115126927693686,SGDClassifier
8,0.6041791415873401,0.6720812329232723,2.938194433848063,negpos,1.1872369448343914,SVC
9,0.5731568217753659,0.64064749936366,104.86684775352478,negpos,0.09230319658915202,XGBClassifier
10,0.592990693320525,0.7607318394352638,148.28200777371725,neutral,0.2947874069213867,AdaBoostClassifier
11,0.5,0.711994050793917,0.0006620883941650391,neutral,0.0,DummyClassifier
12,0.5509042534643583,0.7491311830675498,13.334583759307861,neutral,0.22880800565083823,LGBMClassifier
13,0.6678194715158655,0.8046532302133892,2.7566030025482178,neutral,0.020853122075398762,LogisticRegression
14,0.6786412885146818,0.8059352493348411,41.74467476209005,neutral,0.05234257380167643,MLPClassifier
15,0.5054024536958637,0.7154218900370336,3.2091525395711265,neutral,0.14476490020751953,RandomForestClassifier
16,0.6541029338101809,0.7948825418270534,0.9128119945526123,neutral,0.04199139277140299,RidgeClassifier
17,0.6731314326805142,0.8033671100226049,2.273037910461426,neutral,0.14241369565327963,SGDClassifier
18,0.630546665282877,0.7936048424434227,2.9716049830118814,neutral,1.167602777481079,SVC
19,0.5902032064753859,0.7679499617670275,123.15883072217305,neutral,0.1253048578898112,XGBClassifier
0,0.43687666350714377,0.5021702532772561,267.6392289797465,ternary_hybrid,0.53946852684021,AdaBoostClassifier+AdaBoostClassifier
1,0.3941662190518391,0.428693315094133,148.2830067475637,ternary_hybrid,0.2951207955678304,AdaBoostClassifier+DummyClassifier
2,0.40496143217584596,0.4545751236986437,161.45062732696533,ternary_hybrid,0.4780151844024658,AdaBoostClassifier+LGBMClassifier
3,0.4656332611491702,0.5329564773297997,150.66337434450787,ternary_hybrid,0.3244837125142415,AdaBoostClassifier+LogisticRegression
4,0.47869687169920816,0.5470717281727077,189.45344670613608,ternary_hybrid,0.3341805934906006,AdaBoostClassifier+MLPClassifier
5,0.3992512042387524,0.43936838903603553,151.38683740297955,ternary_hybrid,0.43499692281087243,AdaBoostClassifier+RandomForestClassifier
6,0.46881605410254673,0.5345225508304875,149.08671593666077,ternary_hybrid,0.3266744613647461,AdaBoostClassifier+RidgeClassifier
7,0.46802984180793145,0.5277281471199575,151.23422137896222,ternary_hybrid,0.4359386761983236,AdaBoostClassifier+SGDClassifier
8,0.45936422353878953,0.5317208982523494,151.2202022075653,ternary_hybrid,1.482024351755778,AdaBoostClassifier+SVC
9,0.4399749357511809,0.5101513364755483,253.14885552724203,ternary_hybrid,0.38709060351053876,AdaBoostClassifier+XGBClassifier
10,0.37780248417539997,0.44914915159827734,119.35788329442342,ternary_hybrid,0.24468111991882324,DummyClassifier+AdaBoostClassifier
11,0.3333333333333333,0.3718347986501045,0.001661062240600586,ternary_hybrid,0.0003333886464436849,DummyClassifier+DummyClassifier
12,0.34455054615749203,0.3990476890978241,13.169281641642252,ternary_hybrid,0.1832277774810791,DummyClassifier+LGBMClassifier
13,0.4083885790492438,0.4800017388123717,2.382028659184774,ternary_hybrid,0.029696305592854817,DummyClassifier+LogisticRegression
14,0.4232007793541414,0.49518502650685536,41.17210102081299,ternary_hybrid,0.03939318656921387,DummyClassifier+MLPClassifier
15,0.33830839610391084,0.3828472717956948,3.1054917176564536,ternary_hybrid,0.1402095158894857,DummyClassifier+RandomForestClassifier
16,0.41174654837855323,0.48208586462272995,0.8053702513376871,ternary_hybrid,0.031887054443359375,DummyClassifier+RidgeClassifier
17,0.41060109723468247,0.4750288753328378,2.9528756936391196,ternary_hybrid,0.14115126927693686,DummyClassifier+SGDClassifier
18,0.40278609439156005,0.4797389274233154,2.938856522242228,ternary_hybrid,1.1872369448343914,DummyClassifier+SVC
19,0.3821045478502439,0.4574661681846246,104.86750984191895,ternary_hybrid,0.09230319658915202,DummyClassifier+XGBClassifier
20,0.4081784556899386,0.48678413180151675,132.6918049653371,ternary_hybrid,0.4734891255696615,LGBMClassifier+AdaBoostClassifier
21,0.36462610924669986,0.41293355479529703,13.335582733154297,ternary_hybrid,0.22914139429728192,LGBMClassifier+DummyClassifier
22,0.37572044899158397,0.43935610358747396,26.503203312555947,ternary_hybrid,0.41203578313191735,LGBMClassifier+LGBMClassifier
23,0.4390302619816981,0.5193915622621662,15.71595033009847,ternary_hybrid,0.25850431124369305,LGBMClassifier+LogisticRegression
24,0.45280308183973,0.5341345698767178,54.506022691726685,ternary_hybrid,0.2682011922200521,LGBMClassifier+MLPClassifier
25,0.36996265209518775,0.42402603119287247,16.43941338857015,ternary_hybrid,0.3690175215403239,LGBMClassifier+RandomForestClassifier
26,0.44248345017866986,0.5214881756520238,14.139291922251383,ternary_hybrid,0.26069506009419763,LGBMClassifier+RidgeClassifier
