,avg_cv_f1,case,avg_cv_fit_time,avg_cv_geometric_mean,resampled,avg_cv_predict_time,avg_cv_balanced_accuracy,model_name
0,0.4899249275413101,ternary,166.15697889328004,0.38199226712796164,False,0.15144133567810059,0.4362937428820099,AdaBoostClassifier
1,0.3966725292346672,ternary,0.003930521011352539,0.0,False,0.0001998424530029297,0.3333333333333333,DummyClassifier
2,0.4841333391479057,ternary,37.07411866188049,0.28140148637046,False,0.12388567924499512,0.4129499229723942,LGBMClassifier
3,0.5665999346190167,ternary,3.8927541732788087,0.5046601793669236,False,0.033578348159790036,0.5303553302755574,LogisticRegression
4,0.6011351491058583,ternary,29.881432962417602,0.5380757225713239,False,0.020607757568359374,0.5643922486164469,MLPClassifier
5,0.43358309925975613,ternary,5.278846168518067,0.12087794443748516,False,0.07610516548156739,0.36383922736849345,RandomForestClassifier
6,0.5693949483569419,ternary,0.9348148345947266,0.5028854792881063,False,0.006249856948852539,0.5275745008363816,RidgeClassifier
7,0.5440429387943686,ternary,46.384052181243895,0.45831929242071806,False,0.077232027053833,0.5081414884040245,SGDClassifier
8,0.5816138695490756,ternary,6.878220558166504,0.4572658515845589,False,1.3210241317749023,0.5260994780919059,SVC
9,0.5437769557348787,ternary,454.4326086521149,0.4001240002772368,False,0.07945733070373535,0.48154507148927594,XGBClassifier
10,0.5291891121634178,ternary,171.9147653579712,0.22439461091868895,False,1.8262882232666016,0.47199662517823526,topStack
11,0.4777467278913316,ternary,2571.7713837146757,0.24307890153754413,False,0.492644214630127,0.41661462905444235,treeStack
12,0.4935632343555604,ternary,311.88638534545896,0.4786616198890334,True,0.14628000259399415,0.4894629183039174,AdaBoostClassifier
13,0.17936273153885957,ternary,0.0008257865905761719,0.0,True,0.0003970146179199219,0.3333333333333333,DummyClassifier
14,0.49690596377681623,ternary,44.10631628036499,0.47131068803184945,True,0.11642799377441407,0.4878819303451702,LGBMClassifier
15,0.5568838940497537,ternary,5.7390820503234865,0.5216333814614145,True,0.03462514877319336,0.5380351899755926,LogisticRegression
16,0.596107875857603,ternary,16.478496503829955,0.5274700341897726,True,0.01874256134033203,0.5595983119385453,MLPClassifier
17,0.502074884475163,ternary,8.667567157745362,0.3548638499090695,True,0.0814448356628418,0.4443099201801052,RandomForestClassifier
18,0.5501531248434106,ternary,0.9128243923187256,0.5404531590785838,True,0.0063746929168701175,0.5500678227470568,RidgeClassifier
19,0.5319486512196209,ternary,46.4504225730896,0.4759747126121856,True,0.07531671524047852,0.5092582778687282,SGDClassifier
20,0.5921132589398563,ternary,18.479850673675536,0.5023365314101838,True,1.7370023250579834,0.5504236884259492,SVC
21,0.5670956529403697,ternary,746.1741405010223,0.48067050880580153,True,0.08175749778747558,0.5234879107380981,XGBClassifier
22,0.5890325170210903,ternary,239.59224519729614,0.49523752861554315,True,17.131107139587403,0.5464000165199814,topStack
23,0.5027389779711445,ternary,4212.176895236969,0.31879964954823975,True,0.5096481323242188,0.43337261960042656,treeStack
