,avg_cv_balanced_accuracy,case,dim_red,avg_cv_geometric_mean,avg_cv_f1,avg_cv_fit_time,model_name,avg_cv_predict_time
0,0.615491789734507,negative,LDA,0.6116854213566588,0.6144720852537574,0.14939913749694825,Bagging,0.011162710189819337
1,0.5,negative,LDA,0.0,0.28124870738374486,0.0,Dummy,0.0
2,0.6181829312727437,negative,LDA,0.6148914411922749,0.6187525609658429,0.6268147945404052,ExtraTrees,0.06037793159484863
3,0.6380828146283413,negative,LDA,0.635274546359863,0.6399181293960599,0.009372186660766602,LDA,0.0
4,0.6375123871672942,negative,LDA,0.6347726226930925,0.6389639244501426,0.02186589241027832,LogReg,0.0
5,0.637697430618979,negative,LDA,0.6343500309078324,0.6385343655852354,1.490774440765381,MLP,0.009374856948852539
6,0.6313660415310887,negative,LDA,0.6206472844446818,0.6335029976218427,0.0,PassAgg,0.0
7,0.6387769071914048,negative,LDA,0.6367964571869413,0.641891877947107,0.012489080429077148,Ridge,0.0
8,0.637170969258292,negative,LDA,0.6330012141462065,0.6401265283170307,0.015617895126342773,SGD,0.0
9,0.6368034533243584,negative,LDA,0.6326339383095547,0.6372172478658684,1.4189730167388916,SVC,0.015624141693115235
10,0.5600227512037225,negative,SRP,0.5566970072149301,0.554955005785882,194.55246648788452,Bagging,0.2595343589782715
11,0.5,negative,SRP,0.0,0.31590039827785293,0.0,Dummy,0.0
12,0.5949047251466764,negative,SRP,0.5814302872216129,0.5957880485996225,2.850149726867676,ExtraTrees,0.08123564720153809
13,0.6362235856240499,negative,SRP,0.633961205287229,0.640019671453494,5.3880617141723635,LDA,0.006249380111694336
14,0.6350390444791943,negative,SRP,0.6334580971988084,0.6403425307084344,1.7843681812286376,LogReg,0.015607595443725586
15,0.6448688670031435,negative,SRP,0.6410310722457556,0.647734181137947,44.7987578868866,MLP,0.021853160858154298
16,0.6095645941015279,negative,SRP,0.5976800657715036,0.6262397515173809,1.9768076896667481,PassAgg,0.005132913589477539
17,0.6381899598835045,negative,SRP,0.6363821672000264,0.6420485989787845,0.6004424571990967,Ridge,0.005727005004882812
18,0.6187274113787355,negative,SRP,0.6185431435349842,0.6216304638107053,4.02778639793396,SGD,0.0009922504425048829
19,0.665358757652153,negative,SRP,0.6603335583462131,0.6706874215461174,11.901182413101196,SVC,1.87138090133667
20,0.536601302948142,negative,iPCA,0.5339800724503014,0.5337506807588792,282.36107635498047,Bagging,1.5348910331726073
21,0.5,negative,iPCA,0.0,0.3966725292346672,0.0005987644195556641,Dummy,0.0004004001617431641
22,0.5311543440330616,negative,iPCA,0.411349145814048,0.49067687317819975,4.143745803833008,ExtraTrees,0.08437519073486328
23,0.6386788577609048,negative,iPCA,0.6348636503265689,0.6437803629127681,10.568602752685546,LDA,0.009375619888305663
24,0.6302327257041276,negative,iPCA,0.6266404646792878,0.6327326587794492,0.5103501796722412,LogReg,0.012522745132446288
25,0.641391789873809,negative,iPCA,0.6372165611574594,0.6448810917220609,33.294001722335814,MLP,0.025009870529174805
26,0.5980904296592839,negative,iPCA,0.5957134348307173,0.6044660916581823,1.2125344753265381,PassAgg,0.0
27,0.6393116324588343,negative,iPCA,0.637127127830798,0.6440872411139769,1.118476438522339,Ridge,0.01563539505004883
28,0.6196610638034403,negative,iPCA,0.6177184625768881,0.6244192786540315,11.711237955093384,SGD,0.006256866455078125
29,0.625518099836712,negative,iPCA,0.5692819426262765,0.6107287217158733,17.389620208740233,SVC,1.9691612720489502
30,0.699348565847789,neutral,LDA,0.6991518393117946,0.7273342344049926,0.22198095321655273,Bagging,0.006638240814208984
31,0.5,neutral,LDA,0.0,0.36220787154173095,0.0009932518005371094,Dummy,0.00020031929016113282
32,0.7075504449768414,neutral,LDA,0.7072786819317094,0.729338370148467,0.7926494121551514,ExtraTrees,0.06096110343933105
33,0.7409066244450168,neutral,LDA,0.7395750294309726,0.7446675199843892,0.0013952255249023438,LDA,0.0
34,0.7399011467240747,neutral,LDA,0.737556775675128,0.7377350261710278,0.026242542266845702,LogReg,0.0003940582275390625
35,0.7387748279198385,neutral,LDA,0.7356525558999557,0.7289407471691749,1.943171787261963,MLP,0.0012115001678466796
36,0.7086728954969641,neutral,LDA,0.6779768618527968,0.6721757705894176,0.021151161193847655,PassAgg,0.0002002716064453125
37,0.7393929342774918,neutral,LDA,0.7373599491084211,0.747059979157112,0.013338708877563476,Ridge,0.00039992332458496096
38,0.7395420706539998,neutral,LDA,0.7370683453179447,0.734765990564006,0.015998315811157227,SGD,0.0
39,0.7390419022450896,neutral,LDA,0.73610122984903,0.7307418360304826,2.5220972061157227,SVC,0.02500452995300293
40,0.5773826156308907,neutral,SRP,0.46801838985376154,0.7501589618545635,580.8579856872559,Bagging,0.2687636375427246
41,0.5,neutral,SRP,0.0,0.6081983049697197,0.003219795227050781,Dummy,0.0
42,0.5952439838672923,neutral,SRP,0.49039306287146456,0.7584490672667916,5.357809400558471,ExtraTrees,0.08868265151977539
43,0.7268411601605094,neutral,SRP,0.7123370528204618,0.7698082387364735,7.593328619003296,LDA,0.006329154968261719
44,0.7404128865326236,neutral,SRP,0.7276712320374802,0.7944640618117874,2.6917709350585937,LogReg,0.00937204360961914
45,0.7139121375241166,neutral,SRP,0.6795678101626494,0.8185192703814741,43.991247463226316,MLP,0.01810140609741211
46,0.7230994926986861,neutral,SRP,0.7107991857902952,0.7887846484459156,3.0359254360198973,PassAgg,0.0031156063079833983
47,0.7309734534248908,neutral,SRP,0.7167889059942876,0.771367714795167,0.8825647830963135,Ridge,0.006252384185791016
