,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,GaussianNB_auroc_sig-calib,ternary,LDA,0.5643673261325897,0.15626828194180625,0.5159770846549713,0.3303882377530919,0.6805538343964381,15.389845752716065,0.04346022605895996
1,GaussianNB_acc_sig-calib,ternary,20,0.5528628189983362,0.08172104510678044,0.4695137093666796,0.21475686142049968,0.6530066293376289,6.700911140441894,0.020946264266967773
2,GaussianNB_balacc_sig-calib,ternary,30,0.5526126411727466,0.07622430966773296,0.4645818816158737,0.2010981347992445,0.6543168081071676,7.004348802566528,0.024222898483276366
3,GaussianNB_f1_sig-calib,ternary,30,0.5526100092606925,0.07626503267096141,0.4646239986922961,0.20129029055384154,0.6543095467688381,7.420187616348267,0.017711734771728514
4,GaussianNB_balacc_sig-calib,ternary,20,0.5525830078272691,0.08132551900697996,0.46922529704099586,0.21485504734568805,0.6528152342236482,7.025096607208252,0.02099437713623047
5,GaussianNB_f1_iso-calib,ternary,10+LDA,0.5525472814427242,0.18244769656559218,0.5223072510596223,0.36346322348777893,0.6800592657481979,7.261126375198364,0.03401627540588379
6,GaussianNB_f1_sig-calib,ternary,20,0.5525439909255275,0.08125382851737498,0.46915410890499,0.21482984919468526,0.6528143468385182,7.605502557754517,0.02189035415649414
7,GaussianNB_balacc_iso-calib,ternary,10+LDA,0.552513521876204,0.18247246078717194,0.5222625725270803,0.3634361429919307,0.680060151559452,7.011324644088745,0.030141496658325197
8,GaussianNB_acc_iso-calib,ternary,10+LDA,0.5523643595707146,0.1827617002939927,0.5223314541284664,0.36415595797335365,0.6802990494737781,6.77895336151123,0.03261065483093262
9,GaussianNB_auroc_iso-calib,ternary,10+LDA,0.5518464542701638,0.18425551437967136,0.522567222049233,0.3653543583548481,0.680620267171005,10.255216503143311,0.03456048965454102
10,GaussianNB_auroc_sig-calib,ternary,10,0.5513043093750183,0.08570282682239114,0.4734676368793477,0.22973628140917576,0.6515082646927132,11.261841535568237,0.020366573333740236
11,GaussianNB_acc_sig-calib,ternary,10,0.551176216926427,0.08560805924995862,0.4733477045498791,0.23014491595984216,0.6506949819485731,6.6652233600616455,0.023551464080810547
12,GaussianNB_balacc_sig-calib,ternary,10,0.5509238186557609,0.08542376894780296,0.47323042882714095,0.23071063829927846,0.6504470590747863,6.97947998046875,0.021885776519775392
13,GaussianNB_f1_sig-calib,ternary,10,0.5509117209059424,0.08539550439155649,0.473210567566583,0.2306615128719387,0.6504466680470593,7.721147871017456,0.01954474449157715
14,GaussianNB_balacc_iso-calib,ternary,10+30,0.5468466417254416,0.14710879155138218,0.5059585765159202,0.3062383713990332,0.6677108281902756,8.284097862243652,0.04080367088317871
15,GaussianNB_balacc_iso-calib,ternary,LOF-PCA,0.5466111291163314,0.13947267806121122,0.5034960870892468,0.3029415383970052,0.6675255762558352,11.481333112716674,0.0583986759185791
16,GaussianNB,ternary,10+LDA,0.5529471556714575,0.12932817013801018,0.48974973902548175,0.2970407957200891,0.6744508078446009,0.02386503219604492,0.0
17,GaussianNB,ternary,30,0.5455876650843199,0.07484141635230605,0.4627731681284944,0.22533888793380022,0.6537245336455962,0.017193031311035157,0.0
18,GaussianNB_acc_sig-calib,ternary,30,0.5529809433680203,0.07693899426491634,0.46517849635230774,0.20185109901166012,0.6546575903723936,6.628812789916992,0.01990795135498047
19,GaussianNB_acc_iso-calib,ternary,20+30+LDA,0.5533850998689337,0.1700945954753239,0.5176046146971925,0.34711681415325507,0.6849863096220492,8.65701413154602,0.04805974960327149
20,GaussianNB_balacc_sig-calib,ternary,10+20+30,0.5544557153250926,0.10769248454855225,0.48977518153904176,0.2627503352946218,0.6561069881160648,10.108829832077026,0.04017972946166992
21,GaussianNB_acc_iso-calib,ternary,20+LDA,0.55430013314823,0.16693465126164292,0.5163175393338559,0.3405473466298319,0.6833497049838557,6.964294719696045,0.029357004165649413
22,GaussianNB_auroc_iso-calib,ternary,30+LDA,0.5542745041736541,0.15791864847601952,0.5116943748364289,0.32540148793417967,0.6848964217663445,10.302784872055053,0.03161630630493164
23,GaussianNB_acc_iso-calib,ternary,30+LDA,0.554167655691532,0.1543364626663305,0.5097907936792492,0.3218014736901157,0.6846088631777814,6.764602470397949,0.03501739501953125
24,GaussianNB_balacc_iso-calib,ternary,20+30+LDA,0.5540699779737932,0.1694677827011703,0.5175460432840226,0.34574873620884694,0.6846320396661862,8.871199655532838,0.04279646873474121
25,GaussianNB_auroc_iso-calib,ternary,20+LDA,0.5539528547566339,0.1695515853565865,0.5172362580290442,0.34308708875503446,0.683738299978722,10.37750039100647,0.03427276611328125
26,GaussianNB_auroc_iso-calib,ternary,20+30+LDA,0.5538895156820818,0.17190602273340005,0.5185333857860395,0.3485835777489559,0.6851316570500265,11.846219110488892,0.0445918083190918
27,GaussianNB_f1_iso-calib,ternary,20+30+LDA,0.5538073619165503,0.1701740153060821,0.5178208507161964,0.3470384374441127,0.6848320352713291,9.048669624328614,0.0429227352142334
28,GaussianNB,ternary,10+20+LDA,0.5537490838250083,0.17414668245354248,0.5206177595622036,0.36563687027670333,0.6766719465689832,0.018972015380859374,0.001406383514404297
29,GaussianNB_acc_iso-calib,ternary,10+20+30+LDA,0.5537117737485895,0.18317422649129925,0.5232190836506472,0.3640519409966548,0.6869052993178211,10.531125497817992,0.04903035163879395
30,GaussianNB_f1_iso-calib,ternary,10+20+30+LDA,0.5536162733723841,0.1814883313931887,0.522607031568877,0.36295992708199676,0.6869403417577347,11.202368116378784,0.05279717445373535
