,param_base_estimator__alpha,mean_test_score
0,75483.33134478245,-0.7275686777034728
1,75735.60793656544,-0.7275696291153108
2,75735.79988812312,-0.7275695595611154
3,75955.3473936233,-0.727577594218575
4,76697.31110354883,-0.7275535611335276
5,77190.42818734323,-0.7275713286744092
6,77506.8822838149,-0.7275774054406559
7,78218.18454406357,-0.7275704801847589
8,78739.91816647787,-0.7275856142300139
9,78751.19828268015,-0.7275824687878465
10,79175.56650899787,-0.7275785181710663
11,79205.39703305023,-0.7275781308484591
12,79646.89400333381,-0.7275861993797246
13,79777.10769301828,-0.7275968124540129
14,80303.1437238133,-0.727587304739296
15,82566.24624310632,-0.7276140223766803
16,83089.85978269138,-0.7276080161607013
17,83280.71816569974,-0.7276036232616742
18,84150.32598768955,-0.7277671692007979
19,84168.15011918834,-0.7277689697691103
20,84407.5980019253,-0.7277683519849512
21,84738.38708170968,-0.7277798984576254
22,85026.37219416135,-0.7277810169643832
23,85250.94761971444,-0.7277924375111016
24,85293.41853541325,-0.7277919361263085
25,85474.5852269131,-0.7278005779743553
26,85565.22035215692,-0.7278020946175585
27,86267.70815963477,-0.7278162561311352
28,86288.43837980415,-0.7278172686453024
29,86628.19038569125,-0.7278153487968752
30,86790.40443265812,-0.7278113555977656
31,86943.66085355531,-0.7278102962151549
32,86949.34162178646,-0.7278099391625412
33,87110.91880089794,-0.7278129614923421
34,87588.36433840056,-0.7278197735526685
35,87630.39200770119,-0.7278179693710215
36,87796.04656941353,-0.7278122478754971
37,87899.78190390968,-0.7278138512494062
38,89108.25597218216,-0.7278112049242218
39,89291.36942385914,-0.7278099073428079
40,89464.05701663588,-0.7278140561255625
41,90105.48877664536,-0.7278149968275995
42,91003.79047885776,-0.7277981170968202
43,91144.41241279634,-0.7278034796416167
44,91193.62357374086,-0.7278018416426006
45,92412.89396609525,-0.7278434759326415
46,92570.19073971492,-0.7278397662045274
47,92842.41498451625,-0.7278311212713549
48,92952.16513103894,-0.7278296767488663
49,93792.7514477731,-0.7278422928702454
50,94082.54751009986,-0.7278670260518646
51,94135.3815323321,-0.727862439424817
52,94300.74667683823,-0.7278736576664614
53,94341.96571659688,-0.727871490478904
54,95070.83263853911,-0.7278958923219457
55,95153.7535192166,-0.727891804689643
56,95539.58273825716,-0.7279017095882753
57,95542.15386136546,-0.7279016692852105
58,95889.26924672167,-0.7279135941018123
59,96004.90694652993,-0.7279119815323936
60,96886.08523249318,-0.7279249291221468
61,96943.1255986689,-0.727929592149166
62,97414.79122401524,-0.7279187993498337
63,97457.56574658582,-0.7279212406897317
64,97797.3664871458,-0.727917774079289
65,97946.62066692614,-0.7279069200997643
66,98311.88027412303,-0.7279212419666725
67,98692.28517041093,-0.7279239770520568
68,99027.36784014957,-0.7279347644743202
69,99406.10718941121,-0.7279366395396872
70,100119.76171826449,-0.7279408979254282
71,100353.45735360222,-0.7279287326160327
72,101140.32530065329,-0.7279475158647408
73,101184.18627765414,-0.7279484303299194
74,101277.16810278615,-0.7279564277272411
75,101599.12761563872,-0.7279502544241424
76,101713.61953982015,-0.7279629066956659
77,102026.67148622424,-0.7279701798702217
78,102201.8599200208,-0.7279746302251058
79,102244.81322390428,-0.7279810334881837
80,102876.3005884773,-0.727993426820432
81,103018.04428291129,-0.7279895091899062
82,104400.72594476989,-0.7280046057855901
83,104821.63434604983,-0.7279907433110739
84,105122.42695040633,-0.7279795604359447
85,105305.39392981962,-0.7279838015357574
86,105331.48096593382,-0.727986718008037
87,105618.15900659979,-0.7279776171548862
88,106062.87447726572,-0.7279747533047358
89,106117.11150421484,-0.7279717279714943
90,106433.02388872864,-0.7279833841676945
91,107062.87447626573,-0.7279687784990654
92,107165.47769543658,-0.7279755624688745
93,107190.83768750513,-0.727971637321233
94,107194.85414837857,-0.7279719685582028
95,107856.22806654354,-0.7279703887957969
96,108218.43236782379,-0.7279738257964337
97,108308.46985724186,-0.7279719242482613
98,108508.71484463479,-0.7279716619080348
99,108742.31638716815,-0.7279760646167484
100,108970.02617625709,-0.7279801207149021
101,109194.70279424937,-0.7279807810047824
102,109216.97960064319,-0.7279784566596368
103,109468.41439348938,-0.7279872192452348
104,109955.43738407912,-0.7279931044959915
105,110160.08528212993,-0.7279936042645324
106,110518.2967465168,-0.7279976946461955
107,110613.60936306213,-0.727995575574637
108,111044.59850175251,-0.728019650189157
109,111362.00718422275,-0.7280090814777272
110,111788.32962259566,-0.7280219044527314
111,111970.37396750132,-0.7280290073455713
112,112013.40765703286,-0.7280269527514301
113,112235.23066991323,-0.7280351832624774
114,112629.91686042896,-0.7282373659433042
115,112740.39999452054,-0.7282409362031455
116,112947.68283867952,-0.7282374309949757
117,113412.69673313925,-0.7282574130369143
118,114225.34285437105,-0.728269329163125
119,114896.16985574918,-0.7282558585595131
120,115032.48034637864,-0.7282527996826283
121,116803.45098733676,-0.7282728071291227
122,116866.18611554152,-0.7282768420804886
123,117780.45286345473,-0.7281147980584137
124,118320.02486293452,-0.7281050762125307
125,118361.61714831452,-0.7281044799566845
126,118495.15844567404,-0.7281029004456764
127,119176.93513882929,-0.7281297154680768
128,119624.31931645275,-0.7281302750084542
129,119769.09222306377,-0.7281260781458867
130,120015.04360601933,-0.7281264639222922
131,122528.71761212018,-0.7281502507729423
132,122583.04802755461,-0.7281500079889522
133,123045.48711183388,-0.7281559661219006
134,123088.87876540949,-0.7281593682196337
135,125119.85806183064,-0.7281752387713265
136,126330.19004039945,-0.7281878320694808
137,126541.52612932838,-0.7281857209196567
138,127662.36171261083,-0.7281857694650136
139,128817.39581168295,-0.7281980744871455
140,130574.55730597858,-0.7282318793404804
141,131844.93858648688,-0.7282413799731757
142,132735.13992634628,-0.7282657682247897
143,133557.0769868867,-0.7282664279863603
144,134019.6277861197,-0.7282654954250818
145,137544.34092997274,-0.7282990381289358
146,139659.16489606092,-0.7283018671181085
147,139830.2629863433,-0.7283093845207198
148,143808.56374686482,-0.7283561075124789
149,144769.1406816437,-0.7283596408717055
150,145661.15880659217,-0.7283557866940322
151,147028.57075721564,-0.728192175293527
152,149228.09371438617,-0.7282126300576963
153,150479.04687305796,-0.7282543578359884
154,151956.9020693447,-0.728265681628272
155,154037.35360236265,-0.7282875950688861
156,154223.99897421827,-0.7282843271906968
157,158807.43968008322,-0.7283053424857734
158,159224.78762564465,-0.7283167163488398
159,160331.5357044813,-0.7283106271043199
160,161171.7979553896,-0.7283085211619387
161,163398.76986354802,-0.7283399899390248
162,163667.29055386723,-0.7283502009105438
163,164586.88983870216,-0.7283722027802091
164,167602.90377907958,-0.7287315913260977
165,167885.6851344011,-0.7287338015667866
166,168869.30756598542,-0.7284532697609921
167,169286.53738419933,-0.7284526004367093
168,169611.714856733,-0.728455861782056
169,170489.7078016253,-0.7284724927809976
170,171325.92386373528,-0.7284747902817048
171,172169.5959971508,-0.7284738670913238
172,173233.32029430274,-0.7284909188788913
173,176732.64029301354,-0.7285333705909456
174,180590.34375320413,-0.7285611831385175
175,182873.7294712951,-0.7285819990960196
176,183912.53501900678,-0.7285902900956193
177,184034.8593785391,-0.7285896958394175
178,185880.10470502832,-0.7286223645470062
179,188151.960039506,-0.7286630462249195
180,189151.960038506,-0.7286793879279747
181,189821.7495363165,-0.7286756970046736
182,192412.89332223145,-0.7287116011222979
183,195448.02873689096,-0.7286904072873044
184,197153.31849038266,-0.7286958054579648
185,198053.63062813145,-0.7286969363946287
186,200519.66744171586,-0.728714906379803
187,200527.44388422687,-0.7287155285843938
188,201790.73135471807,-0.7287188652602713
189,201901.43183310784,-0.7287249354603096
190,203650.78693255704,-0.728757589698003
191,205018.9523952888,-0.7288242704357287
192,206018.9523942888,-0.7291217645373647
193,206062.87447626574,-0.7291234204987908
194,206901.3714174842,-0.7291232174762514
195,207270.29009753646,-0.7291282667914988
196,209584.67942299668,-0.729162841849189
197,210276.73142597335,-0.7291530144171232
198,211258.92038267126,-0.7291635064734002
199,217464.74446216607,-0.729254184866194
200,221227.98948748803,-0.7293085622885723
201,223446.46859325806,-0.7293195942727935
202,225354.16319369554,-0.7293519032647098
203,225768.767597083,-0.7293408652882252
204,226707.74055531714,-0.7293452793920068
205,228497.27726581102,-0.7293420146550305
206,229076.36889225506,-0.7293356814910021
207,234756.21084477787,-0.7294016074914036
208,235084.32944090938,-0.7293907299219138
209,238986.83243672905,-0.7293877480070112
210,242181.94844733554,-0.7294082897872998
211,242355.51506163794,-0.7294073841234322
212,245948.4435272107,-0.7294214944364883
213,249460.97626738678,-0.7294661684170993
214,251767.2867690111,-0.7294920273198151
215,255920.93138927067,-0.7295372564142307
216,257995.6380791936,-0.7295648534236535
217,280734.52410228155,-0.7297145734905567
218,282165.1194446432,-0.729718322813356
219,285827.38847818295,-0.7297610255877418
220,288151.96003850596,-0.7297899560556356
221,288655.45494547463,-0.7297951408919345
222,289281.1403337177,-0.7298018458554495
223,289454.77469510486,-0.7298002499781344
224,293515.63269857963,-0.7298453991981081
225,297745.84069966886,-0.7296672457274564
226,305018.9523942888,-0.7296978545138195
227,311428.6588629705,-0.7301900812892813
228,312878.15934515843,-0.7302027130334161
229,312999.5681956823,-0.7302029431721899
230,319421.0005742836,-0.7302391497199341
231,346803.97034772363,-0.7304364528655263
232,379664.99306426354,-0.7306825567506718
233,381650.95020299725,-0.7307100164883704
234,382707.63064764196,-0.7307309454883879
235,387270.5915452971,-0.7307723154573125
236,390398.11413150077,-0.7307892993682015
237,417785.3849354335,-0.7310561741278445
238,420098.1389315986,-0.7310698298134766
239,420906.40219820343,-0.7310778994041287
240,431210.67071686726,-0.7311283615253126
241,432713.7726917337,-0.731134178837551
242,437721.7046508637,-0.7311727423609513
243,438185.63746864814,-0.7311802080422634
244,448295.8244813046,-0.7312770542339941
245,449151.3149327165,-0.7312833743880403
246,449295.8244803046,-0.7312845922806663
247,473845.7034092185,-0.7314778045392427
248,474845.7034082185,-0.7314833453814618
249,477969.8731533934,-0.7315225430565527
250,499622.58628195827,-0.7316980449437915
251,500159.759697349,-0.7317045421779121
252,502395.23436628975,-0.7317232295789985
253,505230.5408501463,-0.7317555813091805
254,527905.3864869401,-0.7319201948892589
255,533629.8852443144,-0.7319760359135317
256,544037.1984014161,-0.7320363589576835
257,548295.8244803046,-0.7320836531378794
258,548997.6984338671,-0.7320905758282681
259,552496.9543720594,-0.7321075487155345
260,559213.7735206148,-0.7321784013637394
261,573845.7034082185,-0.7322906396769149
262,586358.6139908459,-0.7323910623672718
263,588014.5188963979,-0.7324040786687652
264,589014.5188953979,-0.7324093997633682
265,593156.3654260515,-0.7324605859687332
