,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,RidgeCV,ternary,LOF-LDA-classLOF,0.6111398968969982,0.28782736061204883,0.5252182404080326,0.5916732688836845,0.47152263561573216,0.6437827391546834,0.0733057975769043,0.0003996372222900391
1,GaussianNB,ternary,LOF+LDA-classLOF,0.49527244363057604,0.04275120177690962,0.3618341345179397,0.4432893522543223,0.21715713790424945,0.5237661945251764,4.404509687423706,1.0426640033721923
2,SGD_b,ternary,LOF+LDA-classLOF,0.49705261434199277,-0.0029452488588614587,0.3313698340940923,0.38912410861401836,0.07903165433860578,0.49771567596846145,14.146653747558593,0.1704014778137207
3,LogRegCV_b,ternary,LOF+LDA-classLOF,0.5263030957975318,-0.0022353019073892587,0.3318431320617405,0.37997641603836974,0.04350645637092194,0.5039741384605951,438.576544046402,0.14731526374816895
4,SGD,ternary,LOF+LDA-classLOF,0.5353156227223405,-0.0008692593681025593,0.33275382708793166,0.3755902585111518,0.0022245700611070235,0.4996750140847329,13.606297016143799,0.1912567138671875
5,SVC,ternary,LOF+LDA-classLOF,0.5363642392338066,3.826933588677583e-05,0.3333588462239245,0.37566362697528033,0.0,0.5000199607249037,293.82502574920653,43.47735071182251
6,SVC_b,ternary,LOF+LDA-classLOF,0.5363642392338066,3.826933588677583e-05,0.3333588462239245,0.37566362697528033,0.0,0.5000199607249037,290.2461970329285,42.51610050201416
7,RidgeCV,ternary,LOF+LDA-classLOF,0.5363693344013026,0.0,0.3333333333333333,0.37559895962006995,0.0,0.5,33.71489582061768,0.1667023181915283
8,LogRegCV_b,ternary,LOF-LDA-classLOF,0.5730238898059445,0.35077808035500996,0.56718538690334,0.5794331838596084,0.5621691685160073,0.749873165975805,2.1323675155639648,0.003529071807861328
9,RidgeCV_b,ternary,LOF-LDA-classLOF,0.5732661446796342,0.35236276394400295,0.5682418426293353,0.5791215675925422,0.5618592504818121,0.6718563794501061,0.07899389266967774,0.0003972053527832031
10,SGD_b,ternary,LOF-LDA-classLOF,0.5903831221900274,0.3308468296665657,0.5538978864443772,0.5909501090733567,0.539547496478629,0.6631295003427393,0.09564499855041504,0.00948944091796875
11,GaussianNB,ternary,LOF-LDA-classLOF,0.6072674277224879,0.2932329322773536,0.528821954851569,0.5925667795063533,0.4878737233428832,0.7474138975971577,0.0034260272979736326,0.0012054920196533203
12,LinearSVC,ternary,LOF-LDA-classLOF,0.6104373107310593,0.29347483833355714,0.5289832255557047,0.5938057767614483,0.4821974257828382,0.6463562735830821,3.7835033416748045,0.003123044967651367
13,SVC_b,ternary,LOF-LDA-classLOF,0.6104430288725486,0.294790311057728,0.5298602073718186,0.5924756060547607,0.4792247883281583,0.6462745735065953,51.25002541542053,0.8118474006652832
14,SVC,ternary,LOF-LDA-classLOF,0.6104430288725486,0.294790311057728,0.5298602073718186,0.5924756060547607,0.4792247883281583,0.6462745735065953,50.96046943664551,0.8055425167083741
15,SGD,ternary,LOF-LDA-classLOF,0.6109507026092774,0.2938257150689942,0.5292171433793295,0.5929170641329906,0.47674958654830196,0.6467529951498523,0.09108176231384277,0.000406646728515625
16,LinearSVC,ternary,LOF+LDA-classLOF,0.4306321922409276,-0.05371602570631132,0.29752264952912577,0.3757728875177627,0.14879937705413168,0.4743026456588262,760.7958219051361,0.15810942649841309
17,RidgeCV_b,ternary,LOF+LDA-classLOF,0.39059884898895747,0.02903401283466675,0.3526893418897778,0.39027677173820763,0.3223828257180399,0.5099612745920485,34.3448881149292,0.1475602626800537
