,avg_cv_predict_time,avg_cv_f1,avg_cv_balanced_accuracy,pad_rag,model_name,avg_cv_fit_time,case
0,0.26001962025960285,0.7970169944225266,0.7972799920437718,ragged,AdaBoostClassifier,,negative
1,0.13164043426513672,0.38095964776893254,0.5131160672419,padded,AdaBoostClassifier,,negative
2,0.00033291180928548175,0.3108334274761803,0.5,ragged,DummyClassifier,0.0,negative
3,0.0,0.3108334274761803,0.5,padded,DummyClassifier,0.0,negative
4,3.1682047843933105,0.8794093670786068,0.8794403371548984,ragged,GaussianProcessClassifier,,negative
5,3.194955746332804,0.3786667835304293,0.5120231710670365,padded,GaussianProcessClassifier,,negative
6,0.12465675671895345,0.8254833950850319,0.8242814445572074,ragged,LGBMClassifier,,negative
7,0.11398736635843913,0.3767678957777383,0.5040562588460502,padded,LGBMClassifier,,negative
8,0.03922883669535319,0.8264948281566454,0.8264834039374008,ragged,LogisticRegression,,negative
9,0.020667155583699543,0.37981630775484515,0.5125696191544682,padded,LogisticRegression,,negative
10,0.03800153732299805,0.8662741384683007,0.8663273688346012,ragged,MLPClassifier,,negative
11,0.019318024317423504,0.3419267794717344,0.5096098515364883,padded,MLPClassifier,,negative
12,0.06749081611633301,0.8643188427605649,0.8646737383477981,ragged,RandomForestClassifier,,negative
13,0.06067204475402832,0.37981630775484515,0.5125696191544682,padded,RandomForestClassifier,,negative
14,0.5668685436248779,0.824147351169839,0.824133877524682,ragged,SVC,,negative
15,0.6057508786519369,0.3726701002335247,0.5095003449649127,padded,SVC,,negative
16,5.050748348236084,0.5976800874115752,0.604323440916447,ragged,StackingClassifier,100.91164660453796,negative
17,4.6292398770650225,0.3312540153996458,0.5042693247346594,padded,StackingClassifier,40.34629718462626,negative
18,0.01630242665608724,0.8639201704434344,0.8641344333726204,ragged,XGBClassifier,,negative
19,0.01600042978922526,0.3796230224033878,0.5124964885554067,padded,XGBClassifier,,negative
20,0.28168241182963055,0.8647268903278783,0.8174394935679697,ragged,AdaBoostClassifier,,neutral
21,0.1286756992340088,0.6312117375489813,0.5128375043010743,padded,AdaBoostClassifier,,neutral
22,0.0,0.614186082038693,0.5,ragged,DummyClassifier,0.0,neutral
23,0.0010024706522623699,0.614186082038693,0.5,padded,DummyClassifier,0.0,neutral
24,3.3445396423339844,0.879769439715791,0.8392829641708565,ragged,GaussianProcessClassifier,,neutral
25,3.194566249847412,0.6297104154509351,0.5125345130522089,padded,GaussianProcessClassifier,,neutral
26,0.12366549173990886,0.8570987076488591,0.7939330152346032,ragged,LGBMClassifier,,neutral
27,0.11113444964090984,0.614186082038693,0.5,padded,LGBMClassifier,,neutral
28,0.046997785568237305,0.8686704338832844,0.8151527897268878,ragged,LogisticRegression,,neutral
29,0.021663109461466473,0.6292987128442554,0.5118688386512485,padded,LogisticRegression,,neutral
30,0.04466716448465983,0.8966647621498524,0.8635185940118676,ragged,MLPClassifier,,neutral
31,0.01873779296875,0.6355863206086312,0.51682546405557,padded,MLPClassifier,,neutral
32,0.0786737600962321,0.8815777172819619,0.8410404493364134,ragged,RandomForestClassifier,,neutral
33,0.06597638130187988,0.633364542703734,0.5151789541130959,padded,RandomForestClassifier,,neutral
34,0.5359993775685629,0.837651438735986,0.7599572515500239,ragged,SVC,,neutral
35,0.3411564826965332,0.6282926769008187,0.5112324297188755,padded,SVC,,neutral
36,4.924962759017944,0.6895392937404085,0.5736622599751063,ragged,StackingClassifier,92.95619177818298,neutral
37,4.454527695973714,0.6217078748178365,0.5042958826383156,padded,StackingClassifier,35.23399782180786,neutral
38,0.021987279256184895,0.8859904317425817,0.8441228427775513,ragged,XGBClassifier,,neutral
39,0.014761209487915039,0.6329270508289723,0.5145132797121357,padded,XGBClassifier,,neutral
40,0.2511742909749349,0.8804187553976129,0.7975324944162342,ragged,AdaBoostClassifier,,positive
41,0.11459819475809734,0.6962950716997831,0.5027689064133862,padded,AdaBoostClassifier,,positive
42,0.0,0.6926595740673004,0.5,ragged,DummyClassifier,0.0,positive
43,0.0,0.6926595740673004,0.5,padded,DummyClassifier,0.0,positive
44,3.071001927057902,0.8879408219100076,0.8301486199575372,ragged,GaussianProcessClassifier,,positive
45,2.9211642742156982,0.6970561607305248,0.5035460992907801,padded,GaussianProcessClassifier,,positive
46,0.1204233964284261,0.8196423569487719,0.6757666103801193,ragged,LGBMClassifier,,positive
47,0.1096359093983968,0.6926595740673004,0.5,padded,LGBMClassifier,,positive
48,0.024995168050130207,0.8591319880991465,0.7342217941520014,ragged,LogisticRegression,,positive
49,0.025333722432454426,0.6956074578147745,0.5023640661938534,padded,LogisticRegression,,positive
50,0.028000434239705402,0.9058828980325132,0.8519007178242847,ragged,MLPClassifier,,positive
51,0.02133623758951823,0.6977937954828585,0.504028861397746,padded,MLPClassifier,,positive
52,0.07033483187357585,0.8901065015773618,0.8329794762915782,ragged,RandomForestClassifier,,positive
53,0.06400203704833984,0.6970561607305248,0.5035460992907801,padded,RandomForestClassifier,,positive
54,0.6461081504821777,0.8183549628163306,0.6644740167829339,ragged,SVC,,positive
55,0.27517080307006836,0.6941420514732884,0.5011820330969267,padded,SVC,,positive
56,5.157218853632609,0.7107430979775987,0.5158340754093947,ragged,StackingClassifier,93.46769126256306,positive
57,4.127547184626262,0.6923911158553006,0.4996461429582449,padded,StackingClassifier,35.15019210179647,positive
58,0.01563254992167155,0.8912832452781242,0.8333661914872105,ragged,XGBClassifier,,positive
59,0.015999237696329754,0.6956074578147745,0.5023640661938534,padded,XGBClassifier,,positive
