,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_penalty,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
0,768.6759083271027,210.09082940368998,32.816880782445274,16.156595438586024,0.0001,hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,21,,,,,,21
1,444.0095425446828,241.18321036106258,42.99636967976888,41.539156727187425,0.0001,hinge,l2,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,30,,,,,,30
2,588.279243071874,251.48911031231418,27.826337973276775,22.278035066174617,0.0001,log,elasticnet,"{'alpha': 0.0001, 'loss': 'log', 'penalty': 'elasticnet'}",0.6665751679283042,0.6596076233068873,0.6690964860218086,0.665093092419,0.004013065309470675,4,-0.786510885039346,-0.7831645476382616,-0.7709859159928456,-0.7802204495568178,0.0066711793614307666,3
3,54.641557455062866,3.8450520871176854,7.17246150970459,3.504478071451908,0.0001,log,l2,"{'alpha': 0.0001, 'loss': 'log', 'penalty': 'l2'}",0.6610069948620505,0.6560112739083389,0.6624927895072608,0.6598370194258835,0.002772380806658498,5,-0.8280970678567914,-0.8141294945829088,-0.795544791207769,-0.8125904512158231,0.013333895895372564,4
4,218.1436313788096,163.50151129225543,24.99812165896098,22.272262540200686,0.0001,modified_huber,elasticnet,"{'alpha': 0.0001, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.6070227587391422,0.6343370108518324,0.6202328808215914,0.6205308834708553,0.011152987531094538,11,-8.238524107046251,-7.300349960293524,-7.040909892180932,-7.526594653173569,0.5144316914188952,15
5,133.2550003528595,137.14758909065614,15.212573051452637,11.32488682766417,0.0001,modified_huber,l2,"{'alpha': 0.0001, 'loss': 'modified_huber', 'penalty': 'l2'}",0.6199184373800594,0.6156881510145934,0.6066306217917933,0.6140790700621487,0.005542765068722895,12,-7.804632139513536,-7.6619973030970225,-7.710897820411166,-7.725842421007241,0.059181528397090975,16
6,168.70321702957153,101.24211643773579,10.027483304341635,3.729848471496806,0.0001,squared_hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'squared_hinge', 'penalty': 'elasticnet'}",,,,,,29,,,,,,29
7,126.95397885640462,40.035710398503596,20.59089120229085,12.025885045543868,0.0001,squared_hinge,l2,"{'alpha': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l2'}",,,,,,28,,,,,,28
8,76.9782048066457,13.036720643660813,7.7702469031016035,2.217288498358259,0.001,hinge,elasticnet,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,27,,,,,,27
9,297.30711547533673,262.88580427472573,22.102205832799275,26.35429193563774,0.001,hinge,l2,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,26,,,,,,26
10,266.6828266779582,245.88241484118848,25.33271622657776,19.55978254620669,0.001,log,elasticnet,"{'alpha': 0.001, 'loss': 'log', 'penalty': 'elasticnet'}",0.6664675001557795,0.6665220505308092,0.6636005024237351,0.6655300177034413,0.001364555079337465,3,-0.7644316953353345,-0.7657376867984254,-0.7691560855131462,-0.7664418225489688,0.001991953982809471,2
11,243.5986803372701,254.0406855825509,14.543335437774658,7.6309100620987484,0.001,log,l2,"{'alpha': 0.001, 'loss': 'log', 'penalty': 'l2'}",0.674242440487304,0.673332787598001,0.6731779630693296,0.6735843970515448,0.00046958033120281353,1,-0.746851923593118,-0.7509373042435237,-0.7503313943629347,-0.7493735407331922,0.00180012896698829,1
12,455.7716058095296,17.898515454217645,4.515878915786743,1.9423641355736574,0.001,modified_huber,elasticnet,"{'alpha': 0.001, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.6558995988319877,0.6600920328208514,0.6565688785121706,0.6575201700550032,0.00183899291050719,6,-2.6842678665114508,-2.3678682982859622,-2.2277346853693887,-2.4266236167222672,0.19095335722690052,13
13,200.73835953076681,134.28513562570825,15.056989987691244,9.430754269464103,0.001,modified_huber,l2,"{'alpha': 0.001, 'loss': 'modified_huber', 'penalty': 'l2'}",0.6506410990181228,0.6509803300165706,0.6462300463918315,0.649283825142175,0.0021637841712478594,7,-4.096426186416284,-3.513192132091568,-3.5731325144141453,-3.727583610973999,0.2619565440455312,14
14,202.0134781996409,58.707751698790865,50.0889843304952,30.378234189816435,0.001,squared_hinge,elasticnet,"{'alpha': 0.001, 'loss': 'squared_hinge', 'penalty': 'elasticnet'}",,,,,,25,,,,,,25
15,666.1959434350332,375.38885959149417,17.28393832842509,19.128252389147253,0.001,squared_hinge,l2,"{'alpha': 0.001, 'loss': 'squared_hinge', 'penalty': 'l2'}",,,,,,22,,,,,,22
16,690.5121068159739,350.14856979173743,19.775190114974976,23.635645959031372,0.01,hinge,elasticnet,"{'alpha': 0.01, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,23,,,,,,23
17,194.54415003458658,113.59967690028402,8.3084770043691,0.6490255356885689,0.01,hinge,l2,"{'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,31,,,,,,31
18,281.5537917613983,202.57002280508587,6.549595197041829,3.8245049536786664,0.01,log,elasticnet,"{'alpha': 0.01, 'loss': 'log', 'penalty': 'elasticnet'}",0.6002181289823384,0.6012787013161711,0.5960530304144623,0.599183286904324,0.002255376197454045,13,-0.8961597194031609,-0.8939821221937525,-0.8958861541563495,-0.8953426652510875,0.0009685100392571569,6
