,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_penalty,param_solver,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
0,101.8007029692332,9.92022711471446,7.666901747385661,4.302293398413491,0.01,False,l2,lbfgs,"{'C': 0.01, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6702681616012988,0.6679223995626725,0.6705586085862808,0.6695830565834173,0.0011802333577681829,32,-0.7577096134768596,-0.7607552332959416,-0.7580149297974171,-0.7588265921900729,0.0013694395204693378,36
1,123.47478318214417,12.724147895782218,5.301968892415364,0.08263724791724371,0.01,False,l2,sag,"{'C': 0.01, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'sag'}",0.6703599056474902,0.6678911885764053,0.6704999592798089,0.6695836845012347,0.0011981403915108713,31,-0.7577032103229935,-0.7607611026363081,-0.7580093432535759,-0.7588245520709592,0.0013750394932296216,35
2,126.3144330183665,20.146480663357227,9.626117070515951,1.5339611261056068,0.01,False,l2,saga,"{'C': 0.01, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.6703305835738331,0.6678911885764053,0.6704999592798089,0.6695739104766824,0.0011918715752121242,33,-0.7577028986177243,-0.7607610323449407,-0.7580088936300751,-0.7588242748642466,0.0013751800830349708,34
3,89.50462587674458,1.0608259154767934,5.2399648030598955,1.6514308306526648,0.01,True,l2,lbfgs,"{'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6699440020732403,0.6685374397097609,0.6700084200549544,0.6694966206126519,0.0006787529852335256,34,-0.7573287640600812,-0.7603419488980986,-0.7575271821370114,-0.7583992983650637,0.0013760476623137256,32
4,99.4479165871938,1.7846075749120758,5.623197873433431,1.045428486652268,0.01,True,l2,sag,"{'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'sag'}",0.6700464672679937,0.6684762631979232,0.6698491980295191,0.6694573094984787,0.0006983636450003509,36,-0.7573521649295493,-0.760334972448883,-0.7575100541342498,-0.7583990638375607,0.0013704108541563388,31
5,140.42461625734964,6.14567650711267,5.374939521153768,0.8050745004117089,0.01,True,l2,saga,"{'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.6700464672679937,0.668474376864892,0.6699141467156188,0.6694783302828348,0.0007119546011717869,35,-0.757351609372789,-0.7603358110766554,-0.7575125387406266,-0.7583999863966904,0.0013704105124692791,33
6,86.93041904767354,2.76692804802534,5.478905598322551,1.0800015394970424,0.1,False,l2,lbfgs,"{'C': 0.1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6907932620913252,0.6881969094784907,0.6902415342380595,0.6897439019359585,0.0011168378436800755,30,-0.7192958981843964,-0.7225551456542958,-0.7191135646849988,-0.7203215361745636,0.00158115355720912,30
7,162.94897278149924,2.429847822672941,4.730287075042725,0.6742743273277341,0.1,False,l2,sag,"{'C': 0.1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'sag'}",0.6912706771505746,0.6894168102841659,0.6910653683340747,0.6905842852562718,0.0008297735777119201,25,-0.7184865223436638,-0.7218254349912228,-0.7183984718470207,-0.7195701430606357,0.00159513729641431,27
8,302.3229899406433,7.7321302353677845,5.501672188440959,1.0917582477211245,0.1,False,l2,saga,"{'C': 0.1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.6912120330032604,0.689448021270433,0.6909692057390573,0.6905430866709169,0.0007806482108106367,26,-0.7185023678725475,-0.7218408750835116,-0.718413828490791,-0.7195856904822834,0.0015950659327528436,28
9,69.98696605364482,4.047311797457681,7.592982530593872,6.385410211802619,0.1,True,l2,lbfgs,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6904701848509692,0.6888877126278641,0.6906340413762707,0.6899973129517013,0.0007874523897632515,29,-0.7189397799476769,-0.7222555921580777,-0.7184577722489163,-0.719884381451557,0.0016882067441430294,29
10,148.99201114972433,1.4293221350727565,2.834741751352946,0.2604214466192266,0.1,True,l2,sag,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'sag'}",0.6910187861811643,0.6899802059991326,0.6905618186566643,0.6905202702789871,0.00042501521493783163,28,-0.7181769664673454,-0.7212720959811146,-0.7178486411449148,-0.7190992345311248,0.0015422806791622612,25
11,326.59789935747784,4.561813366452744,5.179440498352051,2.4047362856289864,0.1,True,l2,saga,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.6910525243727972,0.6899146159488979,0.690595553433846,0.6905208979185137,0.00046753893226295914,27,-0.718186412471431,-0.7212801221154528,-0.7178543224335111,-0.7191069523401317,0.001542632188306392,26
12,83.08069078127544,1.0030520257508697,3.9699546496073403,0.7689519634440657,1.0,False,l2,lbfgs,"{'C': 1.0, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6965743071454852,0.6935045862734507,0.6940312198114923,0.6947033710768094,0.0013403076887171807,21,-0.712313698793347,-0.7181478570950639,-0.7142442761016922,-0.714901943996701,0.0024267599891579675,18
