,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_penalty,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
0,656.8139613469442,188.61448495593658,7.719589869181315,1.8889753861588827,0.0001,hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,21,,,,,,21
1,792.227889140447,99.03880288528973,10.063904523849487,1.617595038926735,0.0001,hinge,l2,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,30,,,,,,30
2,426.73917841911316,280.2429482784219,8.240341663360596,2.4739123235385745,0.0001,log,elasticnet,"{'alpha': 0.0001, 'loss': 'log', 'penalty': 'elasticnet'}",0.6542949698195419,0.6620161451066052,0.6674950575971589,0.6612687241744353,0.005414767330894426,3,-0.7983215321477001,-0.7860521825103941,-0.7843796999504326,-0.7895844715361756,0.006215650707444529,3
3,68.56798370679219,10.633850029396388,5.995516300201416,3.6709648278223432,0.0001,log,l2,"{'alpha': 0.0001, 'loss': 'log', 'penalty': 'l2'}",0.6458398446832412,0.6571602540119905,0.664471361031671,0.6558238199089675,0.0076647632033109495,6,-0.8339195073901086,-0.8181773169763529,-0.8178067803988058,-0.8233012015884226,0.007509799727130597,4
4,68.11155557632446,18.94530603133565,7.672822713851929,6.592294741512518,0.0001,modified_huber,elasticnet,"{'alpha': 0.0001, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.6178829460201909,0.6073680191538934,0.6272726196741467,0.617507861616077,0.008130346310802693,11,-7.5379785524489336,-7.9572979999488735,-7.241432106408114,-7.578902886268641,0.2936802061286706,16
5,57.82295457522074,20.73559669472112,3.2918026447296143,1.17354438845678,0.0001,modified_huber,l2,"{'alpha': 0.0001, 'loss': 'modified_huber', 'penalty': 'l2'}",0.6067377292285868,0.6164391020172252,0.6271141638161298,0.6167636650206473,0.008321809798455204,12,-7.735549333921596,-7.565868036476466,-7.314843228164661,-7.538753532854241,0.17281937407845036,15
6,93.41770712534587,55.82977510965348,11.530700127283732,10.488200547771488,0.0001,squared_hinge,elasticnet,"{'alpha': 0.0001, 'loss': 'squared_hinge', 'penalty': 'elasticnet'}",,,,,,29,,,,,,29
7,58.05310813585917,47.27109392942257,6.011463085810344,7.0090671641170585,0.0001,squared_hinge,l2,"{'alpha': 0.0001, 'loss': 'squared_hinge', 'penalty': 'l2'}",,,,,,28,,,,,,28
8,122.11377040545146,30.26195993548379,26.693868557612102,17.994471881789572,0.001,hinge,elasticnet,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,27,,,,,,27
9,110.67009274164836,58.34284087663588,4.635964473088582,0.8997449989877031,0.001,hinge,l2,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,26,,,,,,26
10,302.24932106335956,189.96013606798834,5.151422659556071,2.0440180080317307,0.001,log,elasticnet,"{'alpha': 0.001, 'loss': 'log', 'penalty': 'elasticnet'}",0.6586584326663381,0.658167940497875,0.6615088236184491,0.6594450655942207,0.0014729717192931654,5,-0.7806242327621942,-0.7802183553802706,-0.7763628445087232,-0.7790684775503959,0.001920333604599828,2
