,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_solver,param_positive,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,210.8273458480835,0.1450391254095019,2.6555492083231607,0.3740182920584149,0.2,False,auto,,"{'alpha': 0.2, 'fit_intercept': False, 'solver': 'auto'}",0.7033479192737547,0.7038449567441963,0.707400836654815,0.7048645708909221,0.001804853563880369,9
1,146.2124175230662,37.36327933637179,20.064566294352215,8.522026077115756,0.2,False,lsqr,,"{'alpha': 0.2, 'fit_intercept': False, 'solver': 'lsqr'}",0.6973245530685811,0.6946500877510905,0.6999928823890468,0.6973225077362395,0.0021811872567299813,27
2,334.50801515579224,127.95598740747394,12.151757001876831,11.751439159472493,0.2,False,svd,,"{'alpha': 0.2, 'fit_intercept': False, 'solver': 'svd'}",0.7033479192737547,0.7038449567441963,0.707400836654815,0.7048645708909221,0.001804853563880369,9
3,75.97493863105774,31.84221403368276,2.6274263858795166,1.1681629598836036,0.2,True,auto,,"{'alpha': 0.2, 'fit_intercept': True, 'solver': 'auto'}",0.7037047901397216,0.7041895607918073,0.7073252067373735,0.7050731858896341,0.0016046700741420303,1
4,255.03593357404074,51.99472601913484,53.88417633374532,15.95184294545969,0.2,True,lsqr,,"{'alpha': 0.2, 'fit_intercept': True, 'solver': 'lsqr'}",0.6988887847424268,0.6962725464694431,0.700813833732381,0.6986583883147502,0.0018611169382112185,22
5,215.04533529281616,3.161107129387514,5.907600084940593,1.9420280060529613,0.2,True,svd,,"{'alpha': 0.2, 'fit_intercept': True, 'solver': 'svd'}",0.7037047901397216,0.7041895607918073,0.7073252067373735,0.7050731858896341,0.0016046700741420303,1
6,103.10084573427837,25.065403912252116,17.06408707300822,18.67073404198192,0.4,False,auto,,"{'alpha': 0.4, 'fit_intercept': False, 'solver': 'auto'}",0.7033235566773892,0.7042543210610047,0.707193019210251,0.7049236323162149,0.0016490741322670876,7
7,176.00555102030435,31.62271346896741,13.898906707763672,5.272316099529011,0.4,False,lsqr,,"{'alpha': 0.4, 'fit_intercept': False, 'solver': 'lsqr'}",0.6972716906959501,0.6946248943920601,0.700016918179675,0.6973045010892284,0.0022014067506909685,28
8,212.47403931617737,100.7335014446222,8.2514279683431,1.9345646095460782,0.4,False,svd,,"{'alpha': 0.4, 'fit_intercept': False, 'solver': 'svd'}",0.7033235566773892,0.7042543210610047,0.707193019210251,0.7049236323162149,0.0016490741322670876,7
9,136.04905223846436,20.755667171624534,4.247230291366577,1.0995910329983223,0.4,True,auto,,"{'alpha': 0.4, 'fit_intercept': True, 'solver': 'auto'}",0.7036978585088919,0.704096840494152,0.707219995135429,0.7050048980461576,0.0015747566991579766,3
10,240.2559388478597,31.691962132715595,32.865575631459556,11.898310290418014,0.4,True,lsqr,,"{'alpha': 0.4, 'fit_intercept': True, 'solver': 'lsqr'}",0.6989742508119693,0.6962194417563374,0.7009865536302852,0.6987267487328639,0.0019540184004685443,21
11,385.37357719739276,12.02580121196386,3.3996941248575845,0.3093576672778906,0.4,True,svd,,"{'alpha': 0.4, 'fit_intercept': True, 'solver': 'svd'}",0.7036978585088919,0.704096840494152,0.707219995135429,0.7050048980461576,0.0015747566991579766,3
12,90.84056218465169,70.40231749355321,2.3083957036336265,1.9170747417354734,0.6,False,auto,,"{'alpha': 0.6, 'fit_intercept': False, 'solver': 'auto'}",0.7027613543349998,0.703750917968036,0.7072448853169196,0.7045857192066518,0.0019232233961858115,19
13,78.91536696751912,11.063102780569285,33.30492281913757,8.082192164636064,0.6,False,lsqr,,"{'alpha': 0.6, 'fit_intercept': False, 'solver': 'lsqr'}",0.6973989835866475,0.6946240586438627,0.6999678499401188,0.6973302973902097,0.00218213423046821,26
14,180.84708333015442,54.334202182326806,21.823866605758667,16.771035984645046,0.6,False,svd,,"{'alpha': 0.6, 'fit_intercept': False, 'solver': 'svd'}",0.7027613543349998,0.703750917968036,0.7072448853169196,0.7045857192066518,0.0019232233961858115,19
15,112.44383478164673,19.171274242102854,2.576213280359904,0.980348358507516,0.6,True,auto,,"{'alpha': 0.6, 'fit_intercept': True, 'solver': 'auto'}",0.7036484619516757,0.7038164329473959,0.7074143246174041,0.7049597398388253,0.0017370076549963558,5
16,253.38611030578613,18.840047584195634,14.067847967147827,6.851333436100421,0.6,True,lsqr,,"{'alpha': 0.6, 'fit_intercept': True, 'solver': 'lsqr'}",0.6988731400493986,0.6957148498972815,0.7011419910401883,0.6985766603289562,0.0022255172304782066,23
17,171.1663867632548,72.31443940924646,13.828213612238565,14.350127203147165,0.6,True,svd,,"{'alpha': 0.6, 'fit_intercept': True, 'solver': 'svd'}",0.7036484619516757,0.7038164329473959,0.7074143246174041,0.7049597398388253,0.0017370076549963558,5
18,136.77185201644897,4.0356624648555295,7.7968753178914385,2.500202165598973,0.8,False,auto,,"{'alpha': 0.8, 'fit_intercept': False, 'solver': 'auto'}",0.7032297001505282,0.7035305593788329,0.7074551788083908,0.7047384794459174,0.0019249191564603397,15
19,144.58499415715536,52.53480350328973,41.68444426854452,27.33342782355046,0.8,False,lsqr,,"{'alpha': 0.8, 'fit_intercept': False, 'solver': 'lsqr'}",0.6972127293594145,0.694676599588626,0.6999653738932116,0.697284900947084,0.0021597360895506145,29
20,384.91570528348285,5.566373670271857,6.000937461853027,2.9074131634920786,0.8,False,svd,,"{'alpha': 0.8, 'fit_intercept': False, 'solver': 'svd'}",0.7032297001505282,0.7035305593788329,0.7074551788083908,0.7047384794459174,0.0019249191564603397,15
