iter	RMSE
143	0.1357782659
144	0.1347711268
145	0.1338016261
146	0.132668524
147	0.1318357392
148	0.1309645302
149	0.1301201977
150	0.1291660955
151	0.1280866906
152	0.1270805813
153	0.1263536433
154	0.1257963508
155	0.1247525777
156	0.1237485998
157	0.122694457
158	0.1216495411
159	0.1205578196
160	0.1194496713
161	0.1187853939
162	0.1179727461
163	0.1173456706
164	0.1165135982
165	0.1156707848
166	0.1149391624
167	0.1141361109
168	0.1134956813
169	0.1133169027
170	0.1125077176
171	0.1119317107
172	0.1110408667
173	0.1101313032
174	0.109501967
175	0.108607479
176	0.1079466587
177	0.107258808
178	0.1065947751
179	0.1060664907
180	0.1052382014
181	0.1045035301
182	0.1038304407
183	0.1031532447
184	0.1024339628
185	0.1018485846
186	0.101315077
187	0.1006326718
188	0.1000897706
189	0.09943516212
190	0.09869448092
191	0.09811204676
192	0.09742701
193	0.09679313636
194	0.09628880319
195	0.09575434271
196	0.09510023281
197	0.09437350629
198	0.09376125805
199	0.09316053253
200	0.09260834843
201	0.09195174477
202	0.09134137912
203	0.0906903114
204	0.0900848793
205	0.08961283735
206	0.08910174683
207	0.08864246333
208	0.08798501199
209	0.08741413178
210	0.08680600836
211	0.08625581047
212	0.08577330442
213	0.08512121965
214	0.08467303085
215	0.08425432415
216	0.08379292497
217	0.0831406467
218	0.0826777098
219	0.08215119025
220	0.08179647474
221	0.08132180096
222	0.08091268955
223	0.08040963207
224	0.08004245252
225	0.07960041794
226	0.07908383428
227	0.07849187526
228	0.07825664925
229	0.07768970753
230	0.07732606113
231	0.07681818663
232	0.07637814718
233	0.07597183294
234	0.07548127535
235	0.07504611474
236	0.07466878081
237	0.07423348172
238	0.07406272441
239	0.07374729783
240	0.07315515519
241	0.07280349255
242	0.07257581481
243	0.07202062241
244	0.07170208038
245	0.07137385553
246	0.07081331667
247	0.07046417102
248	0.07017103423
249	0.06971247767
250	0.06936600382
251	0.06914061985
252	0.06874342837
253	0.06846077025
254	0.06807600583
255	0.0676770838
256	0.0672791025
257	0.06682665377
258	0.06664527217
259	0.06644240833
260	0.06612858841
261	0.06594052737
262	0.06560874114
263	0.06543196801
264	0.0649937296
265	0.06483187299
266	0.06468174273
267	0.06429642713
268	0.06390070295
269	0.06371402535
270	0.06342681549
271	0.06315505742
272	0.06297012648
273	0.0628493636
274	0.06257338257
275	0.06216907861
276	0.06190781996
277	0.06157153807
278	0.0613600105
279	0.0610131153
280	0.06074378225
281	0.06035191962
282	0.06013321289
283	0.0598386156
284	0.05949838375
285	0.05933825097
286	0.05911525332
287	0.05905785663
288	0.05894275462
289	0.05872363726
290	0.05841628399
291	0.05815801999
292	0.05797149354
293	0.05781298444
294	0.05763111971
295	0.05728590208
296	0.05702745157
297	0.05693377163
298	0.05676325904
299	0.05662829381
300	0.05642372149
301	0.05609634967
302	0.05591510136
303	0.05581249167
304	0.05570792868
305	0.0555420409
306	0.05541881318
307	0.05534609153
308	0.05520092002
309	0.05485761596
310	0.0545400861
311	0.05436976639
312	0.05430538402
313	0.05409371019
314	0.05386721697
315	0.0537902289
316	0.05345972956
317	0.05339878441
318	0.05326908218
319	0.05315565265
320	0.05288746327
321	0.05278483356
322	0.05269070958
323	0.05261269296
324	0.05234073066
325	0.05204740978
326	0.05175633771
327	0.05160608262
328	0.05150216701
329	0.05127577769
330	0.05117021882
331	0.05113312424
332	0.0510415777
333	0.05092322435
334	0.05068124948
335	0.05061949626
336	0.05040694502
337	0.05021301715
338	0.05008300993
339	0.05001857488
340	0.04996680597
341	0.04989743744
342	0.04962297544
343	0.04951374141
344	0.04948152104
345	0.0492967238
346	0.04894862004
347	0.04890056233
348	0.04869241345
349	0.04860834142
350	0.04837325387
351	0.04829745899
352	0.04794498668
353	0.04772132036
354	0.04756064507
355	0.04741121475
356	0.04719349949
357	0.04703676523
358	0.04699093885
359	0.04667974833
360	0.04647161416
361	0.04626275457
362	0.04617709566
363	0.04598542133
364	0.04594168777
365	0.04586718194
366	0.0458087483
367	0.04560479939
368	0.04539334562
369	0.04516851237
370	0.04507646956
371	0.04496901231
372	0.04472979515
373	0.04463793924
374	0.04457131792
375	0.04450151523
376	0.04439151027
377	0.04417303813
378	0.04413429127
379	0.0440875154
380	0.04391268015
381	0.04372531124
382	0.04368267275
383	0.04348067516
384	0.04340619886
385	0.04332823709
386	0.04315835098
387	0.04291862414
388	0.04287008805
389	0.04271127649
390	0.04251273817
391	0.04233685527
392	0.04227995997
393	0.04219745682
394	0.04212568948
395	0.04194824796
396	0.04176357584
397	0.04157626504
398	0.04150715291
399	0.04123000889
400	0.04116220651
401	0.04099609699
402	0.04094134718
403	0.04080767803
404	0.04064644025
405	0.04037409938
406	0.04017170305
407	0.04003648122
408	0.03984266324
409	0.03967244952
410	0.03964077383
411	0.03961299249
412	0.03941889988
413	0.03935701925
414	0.03928914017
415	0.03915999545
416	0.0390631363
417	0.03882007142
418	0.03859968634
419	0.03836354196
420	0.03827073132
421	0.03806241553
422	0.03789834355
423	0.03772480349
424	0.0375273397
425	0.03747072279
426	0.03737926406
427	0.03728824144
428	0.03712000341
429	0.03692686354
430	0.03675108652
431	0.03658640099
432	0.03645408365
433	0.03627178531
434	0.03615009781
435	0.03612624741
436	0.03595440386
437	0.03578238285
438	0.03569803946
439	0.03553222482
440	0.03537936673
441	0.03528454241
442	0.03516170183
443	0.03501091208
444	0.03486549903
445	0.03473251893
446	0.03465247066
447	0.03456030821
448	0.03443971455
449	0.03433980462
450	0.03417933438
451	0.03407573081
452	0.03398577283
453	0.03388784442
454	0.03372752744
455	0.03364108276
456	0.0334877843
457	0.03338881614
458	0.03320576537
459	0.03306988115
460	0.03301547349
461	0.03290375615
462	0.03279416305
463	0.03274104693
464	0.03269429888
465	0.03264201141
466	0.03252311685
467	0.0324041727
468	0.03230378141
469	0.03220382177
470	0.03210889119
471	0.03204023129
472	0.03199053194
473	0.03181121623
474	0.03171861887
475	0.03162172044
476	0.03152388016
477	0.03147765865
478	0.031375694
479	0.0312407027
480	0.03114562093
481	0.03102790501
482	0.03088055446
483	0.03079124481
484	0.03068908668
485	0.03058198901
486	0.03047976651
487	0.0304175136
488	0.03033445453
489	0.03022651846
490	0.03013676026
491	0.03003141518
492	0.02997795889
493	0.02991170284
494	0.02978376978
495	0.02969615989
496	0.02962317009
497	0.02953662208
498	0.02941298841
499	0.02926582009
500	0.02912238104
501	0.02903300297
502	0.02895169575
503	0.02888455858
504	0.02882124662
505	0.02869236657
506	0.0285546299
507	0.02846284766
508	0.02838298195
509	0.02825750318
510	0.02819697374
511	0.02812976571
512	0.02806428848
513	0.02794935561
514	0.02783820059
515	0.02775955376
516	0.02771866943
517	0.0276044219
518	0.02754066007
519	0.02747581724
520	0.02741290884
521	0.02731698172
522	0.02721699883
523	0.02711911664
524	0.02702288843
525	0.02688152924
526	0.02680672144
527	0.02671004673
528	0.02660614607
529	0.02647189401
530	0.0263763651
531	0.02632496896
532	0.02621623875
533	0.02616631349
534	0.02605759438
535	0.02596607709
536	0.02588032032
537	0.02578956272
538	0.02572189758
539	0.0256871097
540	0.02558951915
541	0.025521827
542	0.02546382607
543	0.02537191914
544	0.02525120125
545	0.02519830233
546	0.02514403774
547	0.02511550667
548	0.02503885636
549	0.0249177349
550	0.02483332427
551	0.02478698146
552	0.02468130276
553	0.02457889619
554	0.02448069974
555	0.02443149946
556	0.02432633503
557	0.02427611984
558	0.02419802717
559	0.02408275957
560	0.02397290917
561	0.02388215535
562	0.02378939825
563	0.02367003024
564	0.0235828958
565	0.0234426464
566	0.02332312828
567	0.02321195236
568	0.02311877032
569	0.02303445233
570	0.0229625324
571	0.02290464725
572	0.02287560627
573	0.02278531742
574	0.02269593183
575	0.02261054033
576	0.0225163648
577	0.02244251762
578	0.02236234692
579	0.02222286904
580	0.02213453268
581	0.02205672635
582	0.02197247337
583	0.02189186035
584	0.02178878
585	0.02170166911
586	0.02162653317
587	0.02154647346
588	0.02146894656
589	0.02144269661
590	0.02138811745
591	0.02136565908
592	0.02123658217
593	0.0211709482
594	0.02108123407
595	0.02101681114
596	0.02092990624
597	0.02083583669
598	0.02074222425
599	0.02065275417
600	0.02061001478
601	0.02056798843
602	0.02049522818
603	0.02042394081
604	0.02035217233
605	0.02027673255
606	0.02019471777
607	0.02011518183
608	0.02004495099
609	0.0199781143
610	0.01990564068
611	0.01981662741
612	0.01976277855
613	0.01970725091
614	0.01967943473
615	0.01961159937
616	0.01956800593
617	0.01952988713
618	0.01944826051
619	0.01937802232
620	0.0193485051
621	0.01927851764
622	0.01925258143
623	0.01918037898
624	0.01914419997
625	0.01911535838
626	0.01901244262
627	0.01898649484
628	0.01895906485
629	0.01885294935
630	0.01880142395
631	0.01871550931
632	0.01869330628
633	0.01867463352
634	0.01864469123
635	0.01855919596
636	0.01852487247
637	0.0184578664
638	0.01836280468
639	0.018315128
640	0.01827132039
641	0.01823213162
642	0.01821824897
643	0.0181845957
644	0.01809739677
645	0.01806530275
646	0.01799038141
647	0.01793458204
648	0.01790284528
649	0.01782918922
650	0.01779096077
651	0.01774462071
652	0.01767968823
653	0.01763916609
654	0.01761797804
655	0.017530206
656	0.01749732861
657	0.01745061919
658	0.01742881071
659	0.01735114872
660	0.017311052
661	0.01723953837
662	0.01718366238
663	0.017167609
664	0.01713873093
665	0.01710120162
666	0.01703819732
667	0.01702186285
668	0.01698028241
669	0.01695348673
670	0.01688426443
671	0.01680879345
672	0.0167836919
673	0.01677299223
674	0.01667783415
675	0.01660815796
676	0.01654788086
677	0.01650441329
678	0.0164391231
679	0.01641393331
680	0.01639993046
681	0.01635672997
682	0.01633910091
683	0.01627643139
684	0.0162524252
685	0.01618721812
686	0.01614885577
687	0.01609959697
688	0.01608246353
689	0.01602591375
690	0.01600468088
691	0.01594714887
692	0.01590212181
693	0.01587886829
694	0.01585797517
695	0.01581987209
696	0.01578112715
697	0.01573431523
698	0.01566458928
699	0.01560362759
700	0.01553404467
701	0.01546586728
702	0.01543968172
703	0.01537857546
704	0.01533047429
705	0.01531777247
706	0.01527558056
707	0.01520195894
708	0.01517669554
709	0.0151314354
710	0.01511441014
711	0.01506929921
712	0.01500802407
713	0.01498362094
714	0.01495153355
715	0.01489723179
716	0.01484071088
717	0.01481997686
718	0.01480639214
719	0.01474188107
720	0.01467684938
721	0.01461533793
722	0.01457485785
723	0.01452175491
724	0.01449092616
725	0.01445252337
726	0.01443692173
727	0.01438575967
728	0.014334883
729	0.01425901862
730	0.01420949864
731	0.01418719523
732	0.01414975873
733	0.01408326515
734	0.01401822558
735	0.01396549886
736	0.01391124032
737	0.01385266604
738	0.01381987143
739	0.01378413962
740	0.01375144626
741	0.01370371865
742	0.01365859231
743	0.01364936742
744	0.01360312926
745	0.01355726863
746	0.01352926409
747	0.01348978584
748	0.0134646441
749	0.01344759227
750	0.01341924246
751	0.01336164377
752	0.01333031797
753	0.0133138374
754	0.01326856689
755	0.0132125466
756	0.01320291452
757	0.01315033465
758	0.01312661071
759	0.01311497641
760	0.01309654437
761	0.01306082672
762	0.0130221555
763	0.01301046405
764	0.01294461213
765	0.01291790271
766	0.01286918237
767	0.01285677716
768	0.01281654321
769	0.01276176786
770	0.01271290564
771	0.01268284398
772	0.01266756511
773	0.01263538504
774	0.01259683338
775	0.01257928553
776	0.01256551025
777	0.01254096144
778	0.01253503804
779	0.0125092619
780	0.01249432372
781	0.01248412481
782	0.01244351519
783	0.01242914643
784	0.01237792898
785	0.01234109123
786	0.01231883537
787	0.01228882961
788	0.01225012526
789	0.01221631384
790	0.01219410461
791	0.01218646909
792	0.01217913294
793	0.012167132
794	0.01212025096
795	0.01207661528
796	0.01203781513
797	0.01199925737
798	0.01198306225
799	0.0119745099
800	0.01194491628
801	0.01193117263
802	0.01188921911
803	0.01184155153
804	0.01181518156
805	0.01177899635
806	0.01175903453
807	0.01173847225
808	0.01171591038
809	0.01169860875
810	0.01169095826
811	0.01166338452
812	0.01165220124
813	0.0116276962
814	0.01161720002
815	0.01157635546
816	0.01154719314
817	0.01153352172
818	0.01150610182
819	0.01146739498
820	0.01144531184
821	0.01143241706
822	0.01140829847
823	0.0113648047
824	0.01132623287
825	0.01131754151
826	0.01129053341
827	0.01125712196
828	0.0112290919
829	0.01121558478
830	0.01119587302
831	0.01116651876
832	0.01113491067
833	0.01111735987
834	0.01108079188
835	0.01104749938
836	0.0110337699
837	0.01099849666
838	0.01098554562
839	0.0109572922
840	0.01093343627
841	0.01091961837
842	0.01090865647
843	0.01089678
844	0.01089092551
845	0.01085375042
846	0.0108418827
847	0.0108172127
848	0.01078085152
849	0.01076292838
850	0.01073250374
851	0.01072320846
852	0.01070098617
853	0.01066371471
854	0.01063304819
855	0.01062419862
856	0.01060418976
857	0.01056708687
858	0.01052374695
859	0.01049408169
860	0.01048638259
861	0.01048059926
862	0.01042657086
863	0.01042004183
864	0.01040865463
865	0.01040222052
866	0.01037801623
867	0.01034847446
868	0.01031477723
869	0.01028821785
870	0.01027469299
871	0.01023147584
872	0.01021424156
873	0.01020846965
874	0.01018849981
875	0.01015838934
876	0.01012342925
877	0.01011878213
878	0.01011447349
879	0.01010658242
880	0.01008707071
881	0.01007071132
882	0.0100432875
883	0.0100164571
884	0.01000335564
885	0.009995724468
886	0.009990821158
887	0.009960029128
888	0.009933484812
889	0.00991518741
890	0.009897247473
891	0.009871543689
892	0.009864837594
893	0.009843992418
894	0.009812836814
895	0.009791090387
896	0.00976415826
897	0.009749844832
898	0.009727880871
899	0.009695192065
900	0.009674638776
901	0.00966379675
902	0.009656248825
903	0.009637625759
904	0.009603439881
905	0.009576989428
906	0.009556307301
907	0.009518038372
908	0.00951315702
909	0.009503485841
910	0.009499027792
911	0.009481674319
912	0.009454957157
913	0.009421111666
914	0.009380755806
915	0.009359544315
916	0.009325699266
917	0.009314667619
918	0.009289400766
919	0.009269258257
920	0.00924305711
921	0.009215522915
922	0.009209855426
923	0.009199945006
924	0.009187905866
925	0.009164839536
926	0.009159779304
927	0.009155048863
928	0.009139116307
929	0.009119529808
930	0.009110470641
931	0.00908991953
932	0.009077095848
933	0.00902827262
934	0.009023849691
935	0.009002499513
936	0.008969208729
937	0.008964938447
938	0.008960912874
939	0.008934865309
940	0.008900005213
941	0.008872842572
942	0.008851325858
943	0.008842356928
944	0.008818484304
945	0.008812333419
946	0.008785794515
947	0.008762122236
948	0.008758080367
949	0.008735899239
950	0.008719145304
951	0.008703186066
952	0.008692580014
953	0.008681912462
954	0.008670432283
955	0.008642926959
956	0.008616661644
957	0.008580693404
958	0.008558090548
959	0.008532071374
960	0.008511030717
961	0.008502832054
962	0.00847883968
963	0.008465360457
964	0.008435379843
965	0.00840124614
966	0.008394271284
967	0.008380365477
968	0.008355374031
969	0.00833487424
970	0.008305371752
971	0.008302201263
972	0.008277538788
973	0.008273242622
974	0.008259185165
975	0.008255367977
976	0.008233217599
977	0.008210779186
978	0.008207924908
979	0.008205222861
980	0.008185152264
981	0.008179869644
982	0.008158606891
983	0.008135569272
984	0.008132854928
985	0.008115685248
986	0.008099945187
987	0.008091547733
988	0.008062769029
989	0.008035322916
990	0.008018760245
991	0.007994277656
992	0.007975467858
993	0.007965631659
994	0.00795027275
995	0.007919748456
996	0.007909463771
997	0.007881765842
998	0.007867300869
999	0.007849093685
