,avg_cv_balanced_accuracy,avg_cv_geometric_mean,avg_cv_f1,case,model_name,avg_cv_predict_time,avg_cv_fit_time
0,0.48151825563575573,0.47322109095379716,0.4888830628119763,ternary,AdaBoost,0.1651578426361084,340.3207998752594
1,0.40553095588110183,0.30498562520393285,0.42844272730349164,ternary,AdaBoost+LGBM+RandomForest,0.4212072849273682,417.2576813220978
2,0.44781133942403306,0.34813041210581647,0.46390164925731253,ternary,AdaBoost+LGBM+RandomForest+XGB,0.5386520862579346,513.9926837444306
3,0.48036996601118753,0.41479982447894864,0.5128171919938297,ternary,AdaBoost+LGBM+XGB,0.43805904388427735,500.913181591034
4,0.4500831719058584,0.350778557945966,0.46556211512244444,ternary,AdaBoost+RandomForest+XGB,0.383195686340332,450.13530445098877
5,0.3333333333333333,0.0,0.2041425549927304,ternary,Dummy,0.0,0.004855012893676758
6,0.5415157059451172,0.5045394135489689,0.5845675907991292,ternary,LGBM,0.15545639991760254,63.857379293441774
7,0.44781133942403306,0.34813041210581647,0.46390164925731253,ternary,LGBM+RandomForest+XGB,0.37349424362182615,173.67188386917115
8,0.4528710163752193,0.38070509169556954,0.5175817799441472,ternary,RandomForest,0.10059304237365722,13.079502153396607
9,0.5282319417194816,0.4843517313351574,0.5823608116369083,ternary,XGB,0.11744480133056641,96.73500242233277
10,0.48036996601118753,0.41479982447894864,0.5128171919938297,ternary,XGB+AdaBoost,0.2826026439666748,437.0558022975922
11,0.48036996601118753,0.41479982447894864,0.5128171919938297,ternary,XGB+LGBM,0.27290120124816897,160.59238171577454
12,0.4133933255838133,0.3089917405872314,0.4350950130136011,ternary,XGB+RandomForest,0.21803784370422363,109.81450457572937
