,model_name,case,accuracy,adjusted_balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,keras_MLP_14v3,negative,0.6435625946387827,0.2602286709819227,0.6377323097321315,0.617680502064383,0.6846119568175254,412.59165744781495,1.8437071800231934
1,keras_MLP_14v3,neutral,0.7882431578242634,0.3288884346529163,0.7716138580095936,0.6137069797203553,0.822906893887026,425.630494594574,1.8152060031890869
2,keras_MLP_14v3,ternary,0.5904709014658216,0.23997145208279752,0.5678987588031935,0.4375740092847572,0.7333995214841399,362.78590869903564,1.7955016136169433
3,keras_MLP_14v3+keras_MLP_14v3,ternary_negneu,0.2517103901597476,0.02647893128566616,0.15700050592213485,0.0,0.5107148956119131,838.2221520423889,3.65891318321228
